County,Predicted Turnout
"('wright', 'iowa')",0.3829800679988372
"('medina', 'texas')",0.46842457985359315
"('utah', 'utah')",0.3405221956139439
"('coconino', 'arizona')",0.4403314563603788
"('coffee', 'tennesee')",0.5221304318624488
"('brazoria', 'texas')",0.44805844044713067
"('island', 'washington')",0.43773635379807635
"('san joaquin', 'california')",0.44521722252773915
"('bexar', 'texas')",0.4189787423189433
"('marion', 'indiana')",0.33889798145117295
"('dorchester', 'massachusetts')",0.40354046242774566
"(""prince george's"", 'maryland')",0.4413439502610024
"('paulding', 'ohio')",0.5206759580281496
"('waushara', 'wisconsin')",0.39069786510059545
"('adams', 'nebraska')",0.48223262263823885
"('will', 'illinois')",0.4724544426915767
"('clackamas', 'oregon')",0.46707380307656854
"('ramsey', 'minnesota')",0.4291905401009027
"('placer', 'california')",0.4602297841966885
"('arlington', 'virginia')",0.4734016718218768
"('passaic', 'new jersey')",0.5659216179424401
"('ohio', 'west virginia')",0.45925971150663714
"('sonoma', 'california')",0.4563947223486028
"('el pasa', 'texas')",0.42103036844715425
"('brevard', 'florida')",0.33889798145117295
"('jefferson', 'west virginia')",N/A
"('johnson', 'missouri')",0.49990972230581265
"('lincoln', 'oregon')",0.5363444268357105
"('prairie', 'montana')",0.46519896866781973
"('livingston', 'michigan')",0.4728723318695813
"('houston', 'texas')",0.41162829456713923
"('chesterfield', 'south carolina')",0.3103627308863294
"('colorado', 'texas')",0.4302304147465438
"('la plata', 'colorado')",0.3903739868838723
"('park', 'montana')",0.5588569800377176
"('harris', 'texas')",0.4885748475696621
"('loudoun', 'virginia')",0.43088350815581533
"('polk', 'missouri')",0.4836808105919355
"('oconee', 'south carolina')",0.5431445709157889
"('marengo', 'alabama')",0.3977315512048193
"('columbia', 'wisconsin')",0.41451818236929394
"('brunswick', 'virginia')",0.3057553956834532
"('atlantic', 'new jersey')",0.40720650910499806
"('burlington', 'new jersey')",0.39216111400585396
"('storey', 'nevada')",0.35188694752516414
"('churchill', 'nevada')",0.3960056191687871
"('anoka', 'minnesota')",0.26951412850881284
"('rice', 'kansas')",0.679324894514768
"('grant', 'arkansas')",0.43652682733313497
"('ouachita', 'arkansas')",0.504220346512661
"('marquette', 'michigan')",0.3981894935763598
"('greenwood', 'kansas')",0.38484683474369114
"('muskegon', 'michigan')",0.48919129919776017
"('cullman', 'alabama')",0.3531135861478108
"('manassas', 'virginia')",N/A
"('san mateo', 'california')",0.470205443737616
"('montgomery', 'north carolina')",0.4302304147465438
"('santa barbara', 'california')",0.4189787423189433
"('new hanover', 'north carolina')",0.46073381408986447
"('amherst', 'virginia')",0.5506320408907427
"('district 5', 'alaska')",0.36004149116338535
"('olmsted', 'minnesota')",0.41692290171962193
"('mobile', 'alabama')",0.29672534922180127
"('monterey', 'california')",0.4602297841966885
"('burke', 'north carolina')",0.39196099417290997
"('ottawa', 'kansas')",0.503022516301031
"('craig', 'virginia')",0.442067855706048
"('muhlenberg', 'kentucky')",0.5151165061181984
"('levy', 'florida')",0.437924044085103
"('grant', 'wisconsin')",0.4764251590853302
"('whitley', 'kentucky')",0.5161050513587246
"('waukesha', 'wisconsin')",0.5935237384623888
"('madison', 'alabama')",0.3955193192781565
"('anne aurndel', 'maryland')",0.43421420704334246
"('middlesex', 'massachusetts')",0.26951412850881284
"('montgomery', 'maryland')",0.4845639575227676
"('ventura', 'california')",0.4602297841966885
"('elmore', 'alabama')",0.5035603715170278
"('rockingham', 'virginia')",0.46057793490851007
"('navarro', 'texas')",0.5177259766989558
"('shasta', 'california')",0.2878798449969569
"('rice', 'minnesota')",0.5148954775888351
"('guadalupe', 'texas')",0.5331447480785654
"('apache', 'arizona')",0.35471487401409924
"('rock', 'wisconsin')",0.3981894935763598
"('haywood', 'tennessee')",0.38327076733524224
"('bingham', 'idaho')",0.4533893493811741
"('montgomery', 'virginia')",0.46495147928994085
"('arapahoe', 'colorado')",0.5226799605565904
"('missoula', 'montana')",0.4520355217136177
"('gunnison', 'colorado')",0.46645646707527894
"('forsyth', 'georgia')",0.3693783592880217
"('king', 'washington')",0.5148954775888351
"('miami-dade', 'florida')",0.26951412850881284
"('pender', 'north carolina')",0.2522994890671435
"('lackawanna', 'pennsylvania')",0.5272400224845418
"('comanche', 'oklahoma')",0.3733784426706137
"('gallatin', 'illinois')",0.62757942691182
"('escambia', 'alabama')",0.3840003187716665
"('york', 'pennsylvania')",0.4732441049790727
"('kenton', 'kentucky')",0.43135528911822735
"('eddy', 'north dakota')",0.29948336261291697
"('district 37', 'alaska')",0.5451734799038132
"('butte', 'south dakota')",0.5414625183733464
"('iron', 'missouri')",0.4432986943778311
"('kanawha', 'west virginia')",0.33889798145117295
"('district 36', 'alaska')",0.4020308458664623
"('leslie', 'kentucky')",0.3455745317894351
"('oregon', 'missouri')",0.533997213567068
"('hughes', 'south dakota')",0.48919129919776017
"('douglas', 'colorado')",0.4879335764724141
"('granville', 'north carolina')",0.5292641201609015
"('newport', 'rhode island')",0.6362847222222222
"('jefferson', 'alabama')",0.2065545031542266
"('knox', 'tennessee')",0.41556324013319934
"('wood', 'ohio')",0.4630796370967742
"('troup', 'georgia')",0.41692290171962193
"('union', 'new mexico')",0.3203111411977751
"('anderson', 'south carolina')",0.45299605310369573
"('washtenaw', 'michigan')",0.42147478744452166
"('yakima', 'washington')",0.4884345648090169
"('williamson', 'tennessee')",0.21952318512337585
"('lubbock', 'texas')",0.5223115231004388
"('monroe', 'indiana')",0.36265830964073403
"('sandoval', 'new mexico')",0.503444734477299
"('victoria', 'texas')",0.40764922225596384
"('riverside', 'california')",0.4820424383294594
"('caldwell', 'kentucky')",0.4171413775245987
"('jackson', 'oklahoma')",0.4463653233209492
"('williams', 'ohio')",0.518330653744254
"('washington', 'georgia')",0.4833128516913524
"('atascosa', 'texas')",0.4614432721115019
"('washburn', 'wisconsin')",0.46365850966388916
"('hidalgo', 'new mexico')",0.29767615938326975
"('sierra', 'new mexico')",0.43814370638521544
"('shelby', 'alabama')",0.5148954775888351
"('ross', 'ohio')",0.5668601432886808
"('houston', 'georgia')",0.3996844884440241
"('rensselaer', 'new york')",0.38289515030899757
"('dallas', 'texas')",0.49658764367816094
"('pasco', 'florida')",0.5221304318624488
"('curry', 'oregon')",0.46495147928994085
"('routt', 'colorado')",0.29672534922180127
"('madison', 'tennessee')",0.4820424383294594
"('johnson', 'kansas')",0.3815232722143865
"('mclean', 'illinois')",0.4518099547511312
"('benton', 'tennessee')",0.45934615372576354
"('columbia', 'gerogia')",0.3097208498023715
"('fayette', 'iowa')",0.43773635379807635
"('seward', 'kansas')",0.5506320408907427
"('gogebic', 'michigan')",0.4732441049790727
"('jasper', 'iowa')",0.519927987667096
"('kalamazoo', 'michigan')",0.40632905350579923
"('highland', 'virginia')",0.36852004952179435
"('james', 'virginia')",0.47440810606342476
"('orange', 'north carolina')",0.4197249754442361
"('orange', 'florida')",0.5935237384623888
"('el paso', 'colorado')",0.29672534922180127
"('aroostook', 'maine')",0.2602691426220838
"('grundy', 'iowa')",0.4734016718218768
"('delaware', 'oklahoma')",0.44521722252773915
"('gallatin', 'montana')",0.2789661203601736
"('sedgwick', 'kansas')",0.5397180512296035
"('wayne', 'michigan')",0.47970389413532116
"('gwinnett', 'georgia')",0.47708719164382546
"('providence', 'rhode island')",0.4728723318695813
"('columbia', 'pennsylvania')",0.40632905350579923
