state,county,candidate,total votes,turnout rate
alabama,autauga,Donald Trump,27770,N/A
alabama,baldwin,Donald Trump,109679,0.49131852674771764
alabama,barbour,Donald Trump,10518,0.42607145750627884
alabama,bibb,Donald Trump,9595,0.4284629811556667
alabama,blount,Donald Trump,27588,0.47708643170891984
alabama,bullock,Joe Biden,4613,0.4566874566874567
alabama,butler,Donald Trump,9488,0.4878650761003702
alabama,calhoun,Donald Trump,50983,0.44877426169622814
alabama,chambers,Donald Trump,15284,0.45961388103686773
alabama,cherokee,Donald Trump,12301,0.46957550771110096
alabama,chilton,Donald Trump,19310,0.43463581525164313
alabama,choctaw,Donald Trump,7464,0.5928985622368734
alabama,clarke,Donald Trump,13135,0.5560494454322242
alabama,clay,Donald Trump,6930,0.5236116358141292
alabama,cleburne,Donald Trump,7227,0.4847082494969819
alabama,coffee,Donald Trump,22275,0.4255664666997822
alabama,colbert,Donald Trump,27886,0.5048062127767419
alabama,conecuh,Donald Trump,6441,0.5337697853650452
alabama,coosa,Donald Trump,5479,0.513832880052518
alabama,covington,Donald Trump,17430,0.4704580420524171
alabama,crenshaw,Donald Trump,6617,0.480467615451641
alabama,cullman,Donald Trump,41851,0.49960605481806897
alabama,dale,Donald Trump,19738,0.4014073049703083
alabama,dallas,Joe Biden,17864,0.48026669534358535
alabama,dekalb,Donald Trump,29356,0.4104987904297121
alabama,elmore,Donald Trump,41030,0.5052395670430617
alabama,escambia,Donald Trump,15910,0.43430786449376246
alabama,etowah,Donald Trump,47728,0.46669534947393126
alabama,fayette,Donald Trump,8766,0.5377254324622746
alabama,franklin,Donald Trump,12578,0.4010586059562528
alabama,geneva,Donald Trump,12545,0.4775227437097941
alabama,greene,Joe Biden,4775,0.588706694612255
alabama,hale,Joe Biden,7900,0.5392123404545764
alabama,henry,Donald Trump,9298,0.540424295263005
alabama,houston,Donald Trump,46173,0.4360797869326231
alabama,jackson,Donald Trump,23636,0.4578313253012048
alabama,jefferson,Joe Biden,325848,0.4947788627836246
alabama,lamar,Donald Trump,7193,0.5210431003259689
alabama,lauderdale,Donald Trump,44339,0.47815677943254
alabama,lawrence,Donald Trump,16031,0.4869092455351719
alabama,lee,Donald Trump,71449,0.43422955841061855
alabama,limestone,Donald Trump,49235,0.4977505939442956
alabama,lowndes,Joe Biden,6835,0.7027555007197204
alabama,macon,Joe Biden,8723,0.48278724817356655
alabama,madison,Donald Trump,194767,0.5222909610655683
alabama,marengo,Joe Biden,10900,0.5778508190637757
alabama,marion,Donald Trump,13807,0.4647413241778586
alabama,marshall,Donald Trump,39655,0.40976915287163906
alabama,mobile,Donald Trump,183164,0.44327097601703735
alabama,monroe,Donald Trump,10668,0.5145420344378527
alabama,montgomery,Joe Biden,99139,0.43772683521277256
alabama,morgan,Donald Trump,53722,0.44888409829627585
alabama,perry,Joe Biden,5230,0.5861257424632971
alabama,pickens,Donald Trump,9668,0.48509784244857
alabama,pike,Donald Trump,13841,0.41798031044271305
alabama,randolph,Donald Trump,10837,0.4769386497667459
alabama,russell,Joe Biden,21329,0.36798882006866684
alabama,shelby,Donald Trump,114950,0.5280153604468494
alabama,st. clair,Donald Trump,44441,0.49648091875949596
alabama,sumter,Joe Biden,6291,0.5062364206968697
alabama,talladega,Donald Trump,35663,0.44591012528445323
alabama,tallapoosa,Donald Trump,20991,0.5200039636336612
alabama,tuscaloosa,Donald Trump,90172,0.43071338157674766
alabama,walker,Donald Trump,31170,0.4907038617150234
alabama,washington,Donald Trump,8876,0.5436726693617543
alabama,wilcox,Joe Biden,5903,0.5690735563482117
alabama,winston,Donald Trump,11284,0.4775487748106141
alaska,district 1,Donald Trump,7360,N/A
alaska,district 10,Donald Trump,11256,N/A
alaska,district 11,Donald Trump,10686,N/A
alaska,district 12,Donald Trump,11280,N/A
alaska,district 13,Donald Trump,7765,N/A
alaska,district 14,Donald Trump,11534,N/A
alaska,district 15,Donald Trump,5593,N/A
alaska,district 16,Joe Biden,8170,N/A
alaska,district 17,Joe Biden,7271,N/A
alaska,district 18,Joe Biden,7759,N/A
alaska,district 19,Joe Biden,5338,N/A
alaska,district 2,Donald Trump,6161,N/A
alaska,district 20,Joe Biden,7544,N/A
alaska,district 21,Joe Biden,9482,N/A
alaska,district 22,Donald Trump,9597,N/A
alaska,district 23,Joe Biden,7796,N/A
alaska,district 24,Donald Trump,10484,N/A
alaska,district 25,Joe Biden,9369,N/A
alaska,district 26,write-ins,20292,N/A
alaska,district 27,write-ins,19037,N/A
alaska,district 28,write-ins,25580,N/A
alaska,district 29,Donald Trump,10784,N/A
alaska,district 3,Donald Trump,8385,N/A
alaska,district 30,Donald Trump,10226,N/A
alaska,district 31,Donald Trump,12481,N/A
