state,county,candidate,total votes,turnout rate
arkansas,greene,Hillary Clinton,14600,0.3295711060948081
arkansas,hempstead,Hillary Clinton,7049,0.31917591125198097
arkansas,hot spring,Hillary Clinton,11944,0.35656924500701553
arkansas,howard,Hillary Clinton,4674,0.35047990401919615
arkansas,independence,Hillary Clinton,13614,0.3675982179019846
arkansas,izard,Hillary Clinton,5448,0.4039445391858827
arkansas,jackson,Hillary Clinton,5156,0.2969190901238123
arkansas,jefferson,Hillary Clinton,25894,0.3602793855743544
arkansas,johnson,Hillary Clinton,9112,0.349199049589944
arkansas,lafayette,Hillary Clinton,2860,0.4079885877318117
arkansas,lawrence,Hillary Clinton,5685,0.34050071873502635
arkansas,lee,Hillary Clinton,3026,0.3128618693134822
arkansas,lincoln,Hillary Clinton,3826,0.27592672724650225
arkansas,little river,Hillary Clinton,5227,0.421464279954846
arkansas,logan,Hillary Clinton,7921,0.3645358737171522
arkansas,lonoke,Hillary Clinton,27100,0.37976989587858573
arkansas,madison,Hillary Clinton,6841,0.4355937599490608
arkansas,marion,Hillary Clinton,7107,0.43829787234042555
arkansas,miller,Hillary Clinton,16091,0.367441541834125
arkansas,mississippi,Hillary Clinton,13204,0.3019506505980013
arkansas,monroe,Hillary Clinton,2884,0.3870101986044015
arkansas,montgomery,Hillary Clinton,3559,0.3942616594660463
arkansas,nevada,Hillary Clinton,3246,0.3815232722143865
arkansas,newton,Hillary Clinton,3753,0.4783329084884017
arkansas,ouachita,Hillary Clinton,9935,0.4085787136042112
arkansas,perry,Hillary Clinton,4306,0.41777432812651594
arkansas,phillips,Hillary Clinton,6953,0.35572495651284153
arkansas,pike,Hillary Clinton,3981,0.36735258835471074
arkansas,poinsett,Hillary Clinton,7722,0.32172318973418884
arkansas,polk,Hillary Clinton,8231,0.4075963157373477
arkansas,pope,Hillary Clinton,22569,0.3548138598918375
arkansas,prairie,Hillary Clinton,3444,0.4149897578021448
arkansas,pulaski,Hillary Clinton,159776,0.4059597129906295
arkansas,randolph,Hillary Clinton,6379,0.36583127831622414
arkansas,saline,Hillary Clinton,52100,0.44763295815791737
arkansas,scott,Hillary Clinton,3510,0.3323548906353565
arkansas,searcy,Hillary Clinton,3728,0.4758136566687939
arkansas,sebastian,Hillary Clinton,44637,0.35041017388232526
arkansas,sevier,Hillary Clinton,4562,0.2642799212142278
arkansas,sharp,Hillary Clinton,7249,0.431282722513089
arkansas,stone,Hillary Clinton,5618,0.45357661876311967
arkansas,union,Hillary Clinton,16894,0.42144389562440754
arkansas,van buren,Hillary Clinton,7339,0.43663731556401714
arkansas,washington,Hillary Clinton,81861,0.36474420096776783
arkansas,white,Hillary Clinton,27219,0.3449154153202813
arkansas,woodruff,Hillary Clinton,2571,0.38338801073665374
arkansas,yell,Hillary Clinton,6439,0.29940481726029944
california,alameda,Hillary Clinton,654266,0.4002757965859466
california,alpine,Hillary Clinton,602,0.5589600742804085
california,amador,Hillary Clinton,17734,0.4788960600577894
california,butte,Hillary Clinton,95564,0.4254265884940191
california,calaveras,Hillary Clinton,23136,0.5145335260758368
california,colusa,Hillary Clinton,6632,0.31237341623098297
california,contra costa,Hillary Clinton,466175,0.41459705355276794
california,del norte,Hillary Clinton,9558,0.35152629643251193
california,el dorado,Hillary Clinton,93591,0.5070786535116948
california,fresno,Hillary Clinton,282319,0.2912042232601125
california,glenn,Hillary Clinton,9470,0.34122437213994883
california,humboldt,Hillary Clinton,59246,0.4385279270477121
california,imperial,Hillary Clinton,48091,0.2687593957649899
california,inyo,Hillary Clinton,8086,0.4465429644356086
california,kern,Hillary Clinton,244163,0.2787150226418928
california,kings,Hillary Clinton,33915,0.22597194922877037
california,lake,Hillary Clinton,24496,0.38120136943666355
california,lassen,Hillary Clinton,10524,0.3367033529562324
california,los angeles,Hillary Clinton,3434308,0.3405221956139439
california,madera,Hillary Clinton,43112,0.2807209459811429
california,marin,Hillary Clinton,139273,0.5337848196354382
california,mariposa,Hillary Clinton,8877,0.5037453183520599
california,mendocino,Hillary Clinton,37477,0.43024096800486755
california,merced,Hillary Clinton,70789,0.26577136356639497
california,modoc,Hillary Clinton,3788,0.41828621908127206
california,mono,Hillary Clinton,5276,0.3747957661433544
california,monterey,Hillary Clinton,133408,0.3098533974990245
california,napa,Hillary Clinton,61372,0.4356888302026096
california,nevada,Hillary Clinton,54935,0.5567209858526896
california,orange,Hillary Clinton,1197521,0.38025231163948586
california,placer,Hillary Clinton,182839,0.49039402855372666
california,plumas,Hillary Clinton,9676,0.5250990394529766
california,riverside,Hillary Clinton,751391,0.3203111411977751
california,sacramento,Hillary Clinton,559330,0.3744659142490262
