Town,Margin,Est. votes reported,Total votes,Absentee
Ashford,Biden +7,100%,"2,544",Ñ
Pomfret,Biden +10,100%,"2,524",Ñ
Lisbon,Trump +9,100%,"2,490",Ñ
Barkhamsted,Trump +3,100%,"2,442",Ñ
Bethlehem,Trump +19,100%,"2,367",Ñ
Sherman,Biden +7,100%,"2,336",Ñ
Washington,Biden +30,100%,"2,268",Ñ
Goshen,Trump +12,100%,"2,100",Ñ
Andover,Biden +3,100%,"2,091",Ñ
Sterling,Trump +31,100%,"1,908",Ñ
Kent,Biden +38,100%,"1,865",Ñ
Lyme,Biden +33,100%,"1,772",Ñ
North Canaan,Biden +3,100%,"1,705",Ñ
Roxbury,Biden +17,100%,"1,622",Ñ
Morris,Trump +14,100%,"1,561",Ñ
Sprague,Trump +15,100%,"1,557",Ñ
Sharon,Biden +33,100%,"1,555",Ñ
Bozrah,Trump +7,100%,"1,548",Ñ
Voluntown,Trump +23,100%,"1,524",Ñ
Hartland,Trump +28,100%,"1,292",Ñ
Chaplin,Trump +5,100%,"1,290",Ñ
Franklin,Trump +10,100%,"1,261",Ñ
Bridgewater,Biden +10,100%,"1,233",Ñ
Hampton,Biden +1.8,100%,"1,139",Ñ
Eastford,Trump +10,100%,"1,067",Ñ
Norfolk,Biden +26,100%,"1,060",Ñ
Cornwall,Biden +49,100%,"1,032",Ñ
Colebrook,Trump +16,100%,988,Ñ
Scotland,Trump +14,100%,970,Ñ
Warren,Trump +0.53,100%,945,Ñ
Canaan,Biden +35,100%,655,Ñ
Union,Trump +10,100%,571,Ñ
