County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Honolulu,Biden +27,D+29.9,100%,"382,114","17,145"
Hawaii,Biden +36,D+36.6,100%,"87,814","4,600"
Maui,Biden +35,D+38.6,100%,"71,044","4,528"
Kauai,Biden +29,D+33.7,100%,"33,497","2,337"
