state,county,candidate,total votes
arkansas,perry,Donald Trump,4627
arkansas,phillips,Joe Biden,6242
arkansas,pike,Donald Trump,4246
arkansas,poinsett,Donald Trump,7521
arkansas,polk,Donald Trump,8490
arkansas,pope,Donald Trump,24432
arkansas,prairie,Donald Trump,3495
arkansas,pulaski,Joe Biden,169956
arkansas,randolph,Donald Trump,6812
arkansas,saline,Donald Trump,56959
arkansas,scott,Donald Trump,3551
arkansas,searcy,Donald Trump,4019
arkansas,sebastian,Donald Trump,47140
arkansas,sevier,Donald Trump,5202
arkansas,sharp,Donald Trump,7566
arkansas,stone,Donald Trump,5938
arkansas,union,Donald Trump,16607
arkansas,van buren,Donald Trump,7807
arkansas,washington,Donald Trump,94266
arkansas,white,Donald Trump,30885
arkansas,woodruff,Donald Trump,2476
arkansas,yell,Donald Trump,6741
california,alameda,Joe Biden,769864
california,alpine,Joe Biden,741
california,amador,Donald Trump,22302
california,butte,Joe Biden,102042
california,calaveras,Donald Trump,27164
california,colusa,Donald Trump,7951
california,contra costa,Joe Biden,581230
california,del norte,Donald Trump,11452
california,el dorado,Donald Trump,116138
california,fresno,Joe Biden,364809
california,glenn,Donald Trump,11292
california,humboldt,Joe Biden,68828
california,imperial,Joe Biden,56718
california,inyo,Joe Biden,9481
california,kern,Donald Trump,305226
california,kings,Donald Trump,43858
california,lake,Joe Biden,28800
california,lassen,Donald Trump,11985
california,los angeles,Joe Biden,4263443
california,madera,Donald Trump,53722
california,marin,Joe Biden,155801
california,mariposa,Donald Trump,10280
california,mendocino,Joe Biden,43336
california,merced,Joe Biden,90541
california,modoc,Donald Trump,4338
california,mono,Joe Biden,6737
california,monterey,Joe Biden,163883
california,napa,Joe Biden,72122
california,nevada,Joe Biden,64738
california,orange,Joe Biden,1521725
california,placer,Donald Trump,235017
california,plumas,Donald Trump,11256
california,riverside,Joe Biden,996156
california,sacramento,Joe Biden,718290
california,san benito,Joe Biden,28821
california,san bernardino,Joe Biden,840931
california,san diego,Joe Biden,1601722
california,san francisco,Joe Biden,443458
california,san joaquin,Joe Biden,288443
california,san luis obispo,Joe Biden,159681
california,san mateo,Joe Biden,374138
california,santa barbara,Joe Biden,200288
california,santa clara,Joe Biden,850522
california,santa cruz,Joe Biden,144796
california,shasta,Donald Trump,92900
california,sierra,Donald Trump,1930
california,siskiyou,Donald Trump,23450
california,solano,Joe Biden,205831
california,sonoma,Joe Biden,268252
california,stanislaus,Joe Biden,214876
california,sutter,Donald Trump,42640
california,tehama,Donald Trump,28721
california,trinity,Donald Trump,6258
california,tulare,Donald Trump,146832
california,tuolumne,Donald Trump,30401
california,ventura,Joe Biden,422698
california,yolo,Joe Biden,97264
california,yuba,Donald Trump,29787
colorado,adams,Joe Biden,236735
colorado,alamosa,Donald Trump,7808
colorado,arapahoe,Joe Biden,350183
colorado,archuleta,Donald Trump,9144
colorado,baca,Donald Trump,2225
colorado,bent,Donald Trump,2274
colorado,boulder,Joe Biden,206111
colorado,broomfield,Joe Biden,46632
colorado,chaffee,Joe Biden,13717
colorado,cheyenne,Donald Trump,1136
colorado,clear creek,Joe Biden,6548
colorado,conejos,Donald Trump,4333
colorado,costilla,Joe Biden,2094
colorado,crowley,Donald Trump,1750
colorado,custer,Donald Trump,3634
colorado,delta,Donald Trump,19370
colorado,denver,Joe Biden,393827
colorado,dolores,Donald Trump,1449
colorado,douglas,Donald Trump,231599
colorado,eagle,Joe Biden,29140
colorado,el paso,Donald Trump,378849
colorado,elbert,Donald Trump,18983
colorado,fremont,Donald Trump,25557
colorado,garfield,Joe Biden,30904
colorado,gilpin,Joe Biden,4186
colorado,grand,Donald Trump,9870
colorado,gunnison,Joe Biden,11190
colorado,hinsdale,Donald Trump,632
colorado,huerfano,Donald Trump,4406
colorado,jackson,Donald Trump,876
colorado,jefferson,Joe Biden,377357
colorado,kiowa,Donald Trump,903
colorado,kit carson,Donald Trump,3871
colorado,la plata,Joe Biden,35667
colorado,lake,Joe Biden,3961
colorado,larimer,Joe Biden,224338
colorado,las animas,Donald Trump,7961
colorado,lincoln,Donald Trump,2651
colorado,logan,Donald Trump,10532
colorado,mesa,Donald Trump,90622
colorado,mineral,Donald Trump,756
colorado,moffat,Donald Trump,7026
colorado,montezuma,Donald Trump,15500
colorado,montrose,Donald Trump,24922
colorado,morgan,Donald Trump,13744
colorado,otero,Donald Trump,9576
colorado,ouray,Joe Biden,4020
colorado,park,Donald Trump,12290
colorado,phillips,Donald Trump,2485
colorado,pitkin,Joe Biden,11957
colorado,prowers,Donald Trump,5561
colorado,pueblo,Joe Biden,88299
colorado,rio blanco,Donald Trump,3691
colorado,rio grande,Donald Trump,6305
colorado,routt,Joe Biden,16876
colorado,saguache,Joe Biden,3389
colorado,san juan,Joe Biden,563
colorado,san miguel,Joe Biden,5147
colorado,sedgwick,Donald Trump,1446
colorado,summit,Joe Biden,18479
colorado,teller,Donald Trump,16939
colorado,washington,Donald Trump,3008
colorado,weld,Donald Trump,166968
colorado,yuma,Donald Trump,4981
connecticut,fairfield,Joe Biden,35414
connecticut,hartford,Joe Biden,32687
connecticut,litchfield,Joe Biden,5342
connecticut,new haven,Joe Biden,42102
connecticut,new london,Joe Biden,9123
connecticut,tolland,Joe Biden,9257
connecticut,windham,Joe Biden,8348
delaware,kent,Joe Biden,87025
delaware,new castle,Joe Biden,287633
delaware,sussex,Donald Trump,129352
florida,alachua,Joe Biden,142604
florida,baker,Donald Trump,14059
florida,bay,Donald Trump,93024
florida,bradford,Donald Trump,13632
florida,brevard,Donald Trump,360764
florida,broward,Joe Biden,957672
florida,calhoun,Donald Trump,6526
florida,charlotte,Donald Trump,116340
florida,citrus,Donald Trump,93208
florida,clay,Donald Trump,124405
florida,collier,Donald Trump,207818
florida,columbia,Donald Trump,33042
florida,desoto,Donald Trump,12659
florida,dixie,Donald Trump,8167
florida,duval,Joe Biden,492820
florida,escambia,Donald Trump,170372
florida,flagler,Donald Trump,71716
florida,franklin,Donald Trump,6849
florida,gadsden,Joe Biden,23762
florida,gilchrist,Donald Trump,9685
florida,glades,Donald Trump,5193
florida,gulf,Donald Trump,8163
florida,hamilton,Donald Trump,5830
florida,hardee,Donald Trump,8485
florida,hendry,Donald Trump,12940
florida,hernando,Donald Trump,108922
florida,highlands,Donald Trump,52170
florida,hillsborough,Joe Biden,712063
florida,holmes,Donald Trump,9068
florida,indian river,Donald Trump,97484
florida,jackson,Donald Trump,22419
florida,jefferson,Donald Trump,8451
florida,lafayette,Donald Trump,3658
florida,lake,Donald Trump,211314
florida,lee,Donald Trump,393899
florida,leon,Joe Biden,162929
florida,levy,Donald Trump,23145
florida,liberty,Donald Trump,3561
florida,madison,Donald Trump,9380
florida,manatee,Donald Trump,216958
florida,marion,Donald Trump,204376
florida,martin,Donald Trump,98726
florida,miami-dade,Joe Biden,1156816
florida,monroe,Donald Trump,48029
florida,nassau,Donald Trump,58811
florida,okaloosa,Donald Trump,116373
florida,okeechobee,Donald Trump,15954
florida,orange,Joe Biden,647403
florida,osceola,Joe Biden,172436
florida,palm beach,Joe Biden,773158
florida,pasco,Donald Trump,301970
florida,pinellas,Joe Biden,559715
florida,polk,Donald Trump,343256
florida,putnam,Donald Trump,36373
florida,santa rosa,Donald Trump,106928
florida,sarasota,Donald Trump,270575
florida,seminole,Joe Biden,260815
florida,st. johns,Donald Trump,176622
florida,st. lucie,Donald Trump,172169
florida,sumter,Donald Trump,92485
florida,suwannee,Donald Trump,21057
florida,taylor,Donald Trump,10127
florida,union,Donald Trump,6245
florida,volusia,Donald Trump,307439
florida,wakulla,Donald Trump,18404
florida,walton,Donald Trump,43711
florida,washington,Donald Trump,12327
georgia,appling,Donald Trump,8390
georgia,atkinson,Donald Trump,3155
georgia,bacon,Donald Trump,4667
georgia,baker,Donald Trump,1555
georgia,baldwin,Joe Biden,18251
georgia,banks,Donald Trump,8801
georgia,barrow,Donald Trump,37921
georgia,bartow,Donald Trump,50464
georgia,ben hill,Donald Trump,6564
georgia,berrien,Donald Trump,7743
georgia,bibb,Joe Biden,70714
georgia,bleckley,Donald Trump,5708
georgia,brantley,Donald Trump,7749
georgia,brooks,Donald Trump,7101
georgia,bryan,Donald Trump,21335
georgia,bulloch,Donald Trump,30090
georgia,burke,Donald Trump,10683
georgia,butts,Donald Trump,11771
georgia,calhoun,Joe Biden,2198
georgia,camden,Donald Trump,23686
georgia,candler,Donald Trump,4431
georgia,carroll,Donald Trump,54472
georgia,catoosa,Donald Trump,32593
georgia,charlton,Donald Trump,4568
georgia,chatham,Joe Biden,133408
georgia,chattahoochee,Donald Trump,1582
georgia,chattooga,Donald Trump,10050
georgia,cherokee,Donald Trump,144815
georgia,clarke,Joe Biden,51346
georgia,clay,Joe Biden,1435
georgia,clayton,Joe Biden,112330
georgia,clinch,Donald Trump,2861
georgia,cobb,Joe Biden,393728
