state,county,candidate,total votes
indiana,tipton,Donald Trump,8116
indiana,union,Donald Trump,3483
indiana,vanderburgh,Donald Trump,77662
indiana,vermillion,Donald Trump,7481
indiana,vigo,Donald Trump,43594
indiana,wabash,Donald Trump,14573
indiana,warren,Donald Trump,4472
indiana,warrick,Donald Trump,33829
indiana,washington,Donald Trump,12139
indiana,wayne,Donald Trump,27679
indiana,wells,Donald Trump,14050
indiana,white,Donald Trump,11166
indiana,whitley,Donald Trump,17556
iowa,adair,Donald Trump,4177
iowa,adams,Donald Trump,2160
iowa,allamakee,Donald Trump,7422
iowa,appanoose,Donald Trump,6516
iowa,audubon,Donald Trump,3420
iowa,benton,Donald Trump,14642
iowa,black hawk,Joe Biden,66593
iowa,boone,Donald Trump,15340
iowa,bremer,Donald Trump,14546
iowa,buchanan,Donald Trump,10774
iowa,buena vista,Donald Trump,8167
iowa,butler,Donald Trump,8098
iowa,calhoun,Donald Trump,5258
iowa,carroll,Donald Trump,11335
iowa,cass,Donald Trump,7276
iowa,cedar,Donald Trump,10703
iowa,cerro gordo,Donald Trump,23801
iowa,cherokee,Donald Trump,6518
iowa,chickasaw,Donald Trump,6631
iowa,clarke,Donald Trump,4670
iowa,clay,Donald Trump,8969
iowa,clayton,Donald Trump,9594
iowa,clinton,Donald Trump,24687
iowa,crawford,Donald Trump,7154
iowa,dallas,Donald Trump,56022
iowa,davis,Donald Trump,4102
iowa,decatur,Donald Trump,3804
iowa,delaware,Donald Trump,10003
iowa,des moines,Donald Trump,19956
iowa,dickinson,Donald Trump,11244
iowa,dubuque,Donald Trump,53926
iowa,emmet,Donald Trump,4853
iowa,fayette,Donald Trump,10186
iowa,floyd,Donald Trump,8032
iowa,franklin,Donald Trump,5130
iowa,fremont,Donald Trump,3857
iowa,greene,Donald Trump,5057
iowa,grundy,Donald Trump,7276
iowa,guthrie,Donald Trump,6371
iowa,hamilton,Donald Trump,7943
iowa,hancock,Donald Trump,6172
iowa,hardin,Donald Trump,8989
iowa,harrison,Donald Trump,8155
iowa,henry,Donald Trump,9982
iowa,howard,Donald Trump,4958
iowa,humboldt,Donald Trump,5327
iowa,ida,Donald Trump,3849
iowa,iowa,Donald Trump,9742
iowa,jackson,Donald Trump,11135
iowa,jasper,Donald Trump,20184
iowa,jefferson,Donald Trump,8959
iowa,johnson,Joe Biden,83851
iowa,jones,Donald Trump,10989
iowa,keokuk,Donald Trump,5303
iowa,kossuth,Donald Trump,9090
iowa,lee,Donald Trump,16734
iowa,linn,Joe Biden,127458
iowa,louisa,Donald Trump,5332
iowa,lucas,Donald Trump,4630
iowa,lyon,Donald Trump,6863
iowa,madison,Donald Trump,9824
iowa,mahaska,Donald Trump,11404
iowa,marion,Donald Trump,19232
iowa,marshall,Donald Trump,18136
iowa,mills,Donald Trump,8268
iowa,mitchell,Donald Trump,5822
iowa,monona,Donald Trump,4728
iowa,monroe,Donald Trump,4088
iowa,montgomery,Donald Trump,5327
iowa,muscatine,Donald Trump,20671
iowa,o'brien,Donald Trump,7551
iowa,osceola,Donald Trump,3328
iowa,page,Donald Trump,7528
iowa,palo alto,Donald Trump,4958
iowa,plymouth,Donald Trump,14188
iowa,pocahontas,Donald Trump,3823
iowa,polk,Joe Biden,258755
iowa,pottawattamie,Donald Trump,45744
iowa,poweshiek,Donald Trump,10140
iowa,ringgold,Donald Trump,2714
iowa,sac,Donald Trump,5535
iowa,scott,Joe Biden,92599
iowa,shelby,Donald Trump,6795
iowa,sioux,Donald Trump,19051
iowa,story,Joe Biden,51038
iowa,tama,Donald Trump,9048
iowa,taylor,Donald Trump,3249
iowa,union,Donald Trump,6185
iowa,van buren,Donald Trump,3791
iowa,wapello,Donald Trump,15633
iowa,warren,Donald Trump,31039
iowa,washington,Donald Trump,11765
iowa,wayne,Donald Trump,3109
iowa,webster,Donald Trump,17822
iowa,winnebago,Donald Trump,5970
iowa,winneshiek,Donald Trump,12064
iowa,woodbury,Donald Trump,45362
iowa,worth,Donald Trump,4418
iowa,wright,Donald Trump,6254
kansas,allen,Donald Trump,5918
kansas,anderson,Donald Trump,3792
kansas,atchison,Donald Trump,7440
kansas,barber,Donald Trump,2342
kansas,barton,Donald Trump,11130
kansas,bourbon,Donald Trump,6701
kansas,brown,Donald Trump,4471
kansas,butler,Donald Trump,32520
kansas,chase,Donald Trump,1491
kansas,chautauqua,Donald Trump,1639
kansas,cherokee,Donald Trump,9128
kansas,cheyenne,Donald Trump,1429
kansas,clark,Donald Trump,1067
kansas,clay,Donald Trump,4196
kansas,cloud,Donald Trump,4263
kansas,coffey,Donald Trump,4573
kansas,comanche,Donald Trump,921
kansas,cowley,Donald Trump,14231
kansas,crawford,Donald Trump,16718
kansas,decatur,Donald Trump,1498
kansas,dickinson,Donald Trump,9349
kansas,doniphan,Donald Trump,3709
kansas,douglas,Joe Biden,59495
kansas,edwards,Donald Trump,1431
kansas,elk,Donald Trump,1361
kansas,ellis,Donald Trump,13800
kansas,ellsworth,Donald Trump,2853
kansas,finney,Donald Trump,11800
kansas,ford,Donald Trump,8915
kansas,franklin,Donald Trump,12477
kansas,geary,Donald Trump,9603
kansas,gove,Donald Trump,1471
kansas,graham,Donald Trump,1337
kansas,grant,Donald Trump,2501
kansas,gray,Donald Trump,2288
kansas,greeley,Donald Trump,642
kansas,greenwood,Donald Trump,3077
kansas,hamilton,Donald Trump,859
kansas,harper,Donald Trump,2678
kansas,harvey,Donald Trump,17309
kansas,haskell,Donald Trump,1410
kansas,hodgeman,Donald Trump,1045
kansas,jackson,Donald Trump,6584
kansas,jefferson,Donald Trump,9819
kansas,jewell,Donald Trump,1628
kansas,johnson,Joe Biden,349386
kansas,kearny,Donald Trump,1455
kansas,kingman,Donald Trump,3968
kansas,kiowa,Donald Trump,1165
kansas,labette,Donald Trump,8563
kansas,lane,Donald Trump,895
kansas,leavenworth,Donald Trump,36490
kansas,lincoln,Donald Trump,1579
kansas,linn,Donald Trump,5046
kansas,logan,Donald Trump,1458
kansas,lyon,Donald Trump,13988
kansas,marion,Donald Trump,6111
kansas,marshall,Donald Trump,5114
kansas,mcpherson,Donald Trump,14438
kansas,meade,Donald Trump,1825
kansas,miami,Donald Trump,17937
kansas,mitchell,Donald Trump,3101
kansas,montgomery,Donald Trump,13426
kansas,morris,Donald Trump,2899
kansas,morton,Donald Trump,1198
kansas,nemaha,Donald Trump,5684
kansas,neosho,Donald Trump,6877
kansas,ness,Donald Trump,1513
kansas,norton,Donald Trump,2423
kansas,osage,Donald Trump,8050
kansas,osborne,Donald Trump,1945
kansas,ottawa,Donald Trump,3191
kansas,pawnee,Donald Trump,2739
kansas,phillips,Donald Trump,2781
kansas,pottawatomie,Donald Trump,13083
kansas,pratt,Donald Trump,4137
kansas,rawlins,Donald Trump,1504
kansas,reno,Donald Trump,28057
kansas,republic,Donald Trump,2657
kansas,rice,Donald Trump,4319
kansas,riley,Joe Biden,25171
kansas,rooks,Donald Trump,2699
kansas,rush,Donald Trump,1677
kansas,russell,Donald Trump,3467
kansas,saline,Donald Trump,24531
kansas,scott,Donald Trump,2354
kansas,sedgwick,Donald Trump,223688
kansas,seward,Donald Trump,5294
kansas,shawnee,Joe Biden,86122
kansas,sheridan,Donald Trump,1445
kansas,sherman,Donald Trump,2732
kansas,smith,Donald Trump,2129
kansas,stafford,Donald Trump,2034
kansas,stanton,Donald Trump,776
kansas,stevens,Donald Trump,2031
kansas,sumner,Donald Trump,10928
kansas,thomas,Donald Trump,3822
kansas,trego,Donald Trump,1630
kansas,wabaunsee,Donald Trump,3902
kansas,wallace,Donald Trump,825
kansas,washington,Donald Trump,2883
kansas,wichita,Donald Trump,968
kansas,wilson,Donald Trump,3954
kansas,woodson,Donald Trump,1546
kansas,wyandotte,Joe Biden,56785
kentucky,adair,Donald Trump,8768
kentucky,allen,Donald Trump,9364
kentucky,anderson,Donald Trump,13254
kentucky,ballard,Donald Trump,4225
kentucky,barren,Donald Trump,20064
kentucky,bath,Donald Trump,5627
kentucky,bell,Donald Trump,10044
kentucky,boone,Donald Trump,66998
kentucky,bourbon,Donald Trump,9648
kentucky,boyd,Donald Trump,21751
kentucky,boyle,Donald Trump,14478
kentucky,bracken,Donald Trump,4246
kentucky,breathitt,Donald Trump,5661
kentucky,breckinridge,Donald Trump,10201
kentucky,bullitt,Donald Trump,41998
kentucky,butler,Donald Trump,6125
kentucky,caldwell,Donald Trump,6434
kentucky,calloway,Donald Trump,17457
kentucky,campbell,Donald Trump,48878
kentucky,carlisle,Donald Trump,2638
kentucky,carroll,Donald Trump,4136
kentucky,carter,Donald Trump,11586
kentucky,casey,Donald Trump,7171
kentucky,christian,Donald Trump,23863
kentucky,clark,Donald Trump,18139
kentucky,clay,Donald Trump,7591
kentucky,clinton,Donald Trump,4932
kentucky,crittenden,Donald Trump,4242
kentucky,cumberland,Donald Trump,3309
kentucky,daviess,Donald Trump,49287
kentucky,edmonson,Donald Trump,6132
kentucky,elliott,Donald Trump,2995
kentucky,estill,Donald Trump,6540
kentucky,fayette,Joe Biden,152912
kentucky,fleming,Donald Trump,7068
kentucky,floyd,Donald Trump,16353
kentucky,franklin,Donald Trump,26072
kentucky,fulton,Donald Trump,2426
kentucky,gallatin,Donald Trump,3849
kentucky,garrard,Donald Trump,8706
kentucky,grant,Donald Trump,11108
kentucky,graves,Donald Trump,17019
kentucky,grayson,Donald Trump,11985
kentucky,green,Donald Trump,5812
kentucky,greenup,Donald Trump,18176
kentucky,hancock,Donald Trump,4587
kentucky,hardin,Donald Trump,48941
kentucky,harlan,Donald Trump,10971
kentucky,harrison,Donald Trump,8859
kentucky,hart,Donald Trump,8370
kentucky,henderson,Donald Trump,20697
kentucky,henry,Donald Trump,8110
kentucky,hickman,Donald Trump,2199
kentucky,hopkins,Donald Trump,21512
kentucky,jackson,Donald Trump,6113
kentucky,jefferson,Joe Biden,386629
kentucky,jessamine,Donald Trump,26280
kentucky,johnson,Donald Trump,10192
kentucky,kenton,Donald Trump,82198
kentucky,knott,Donald Trump,6252
kentucky,knox,Donald Trump,13273
kentucky,larue,Donald Trump,7301
kentucky,laurel,Donald Trump,28111
kentucky,lawrence,Donald Trump,6955
kentucky,lee,Donald Trump,2801
kentucky,leslie,Donald Trump,4813
kentucky,letcher,Donald Trump,9135
kentucky,lewis,Donald Trump,5883
kentucky,lincoln,Donald Trump,10914
kentucky,livingston,Donald Trump,5004
kentucky,logan,Donald Trump,12350
kentucky,lyon,Donald Trump,4228
kentucky,madison,Donald Trump,43957
kentucky,magoffin,Donald Trump,5447
kentucky,marion,Donald Trump,8928
kentucky,marshall,Donald Trump,17603
kentucky,martin,Donald Trump,3936
kentucky,mason,Donald Trump,7958
kentucky,mccracken,Donald Trump,33549
kentucky,mccreary,Donald Trump,6438
kentucky,mclean,Donald Trump,4782
kentucky,meade,Donald Trump,14113
kentucky,menifee,Donald Trump,3102
kentucky,mercer,Donald Trump,11735
kentucky,metcalfe,Donald Trump,5012
kentucky,monroe,Donald Trump,5330
kentucky,montgomery,Donald Trump,12842
kentucky,morgan,Donald Trump,5544
kentucky,muhlenberg,Donald Trump,14235
kentucky,nelson,Donald Trump,23256
kentucky,nicholas,Donald Trump,3396
kentucky,ohio,Donald Trump,11129
kentucky,oldham,Donald Trump,37976
kentucky,owen,Donald Trump,5458
kentucky,owsley,Donald Trump,1896
kentucky,pendleton,Donald Trump,6925
kentucky,perry,Donald Trump,10626
kentucky,pike,Donald Trump,25395
kentucky,powell,Donald Trump,5505
kentucky,pulaski,Donald Trump,31557
kentucky,robertson,Donald Trump,1146
kentucky,rockcastle,Donald Trump,7784
kentucky,rowan,Donald Trump,10065
kentucky,russell,Donald Trump,8955
kentucky,scott,Donald Trump,28969
kentucky,shelby,Donald Trump,23550
kentucky,simpson,Donald Trump,8732
kentucky,spencer,Donald Trump,11433
kentucky,taylor,Donald Trump,12517
kentucky,todd,Donald Trump,5363
kentucky,trigg,Donald Trump,7376
kentucky,trimble,Donald Trump,4320
kentucky,union,Donald Trump,6577
kentucky,warren,Donald Trump,55401
kentucky,washington,Donald Trump,6225
kentucky,wayne,Donald Trump,9240
kentucky,webster,Donald Trump,5993
kentucky,whitley,Donald Trump,15356
kentucky,wolfe,Donald Trump,2979
kentucky,woodford,Donald Trump,15211
louisiana,acadia,Donald Trump,28425
louisiana,allen,Donald Trump,9810
louisiana,ascension,Donald Trump,62325
louisiana,assumption,Donald Trump,11235
louisiana,avoyelles,Donald Trump,17292
louisiana,beauregard,Donald Trump,16357
louisiana,bienville,Donald Trump,7050
louisiana,bossier,Donald Trump,54655
louisiana,caddo,Joe Biden,104912
louisiana,calcasieu,Donald Trump,82663
louisiana,caldwell,Donald Trump,4762
louisiana,cameron,Donald Trump,4039
louisiana,catahoula,Donald Trump,4858
louisiana,claiborne,Donald Trump,6580
louisiana,concordia,Donald Trump,8828
louisiana,east baton rouge,Joe Biden,208182
louisiana,east carroll,Joe Biden,3036
louisiana,east feliciana,Donald Trump,10509
louisiana,evangeline,Donald Trump,15412
louisiana,franklin,Donald Trump,9720
louisiana,grant,Donald Trump,9392
louisiana,iberia,Donald Trump,32713
louisiana,iberville,Joe Biden,16719
louisiana,jackson,Donald Trump,7632
louisiana,jefferson,Donald Trump,193733
louisiana,lafayette,Donald Trump,114521
louisiana,lafourche,Donald Trump,45388
louisiana,lincoln,Donald Trump,19275
louisiana,livingston,Donald Trump,65230
louisiana,madison,Joe Biden,4670
louisiana,morehouse,Donald Trump,11574
louisiana,natchitoches,Donald Trump,16554
louisiana,orleans,Joe Biden,177819
louisiana,ouachita,Donald Trump,69166
louisiana,plaquemines,Donald Trump,11014
louisiana,pointe coupee,Donald Trump,12371
louisiana,rapides,Donald Trump,58865
louisiana,red river,Donald Trump,4132
louisiana,richland,Donald Trump,9940
louisiana,sabine,Donald Trump,10596
louisiana,st. bernard,Donald Trump,17650
louisiana,st. charles,Donald Trump,28517
louisiana,st. helena,Joe Biden,6158
louisiana,st. james,Joe Biden,12590
louisiana,st. john the baptist,Joe Biden,21432
louisiana,st. landry,Donald Trump,41154
louisiana,st. martin,Donald Trump,27038
louisiana,st. mary,Donald Trump,23186
louisiana,st. tammany,Donald Trump,140110
louisiana,tangipahoa,Donald Trump,57661
louisiana,tensas,Joe Biden,2554
louisiana,terrebonne,Donald Trump,46240
louisiana,union,Donald Trump,11201
louisiana,vermilion,Donald Trump,27324
louisiana,vernon,Donald Trump,17268
louisiana,washington,Donald Trump,19513
louisiana,webster,Donald Trump,18216
louisiana,west baton rouge,Donald Trump,14097
louisiana,west carroll,Donald Trump,5052
louisiana,west feliciana,Donald Trump,6268
louisiana,winn,Donald Trump,6225
maine,cumberland,Joe Biden,6002
maine,franklin,Donald Trump,861
maine,hancock,Donald Trump,1472
maine,knox,Donald Trump,475
maine,lincoln,Donald Trump,2596
maine,oxford,Donald Trump,2325
maine,penobscot,Joe Biden,845
maine,waldo,Donald Trump,502
maine,washington,Donald Trump,988
maine,york,Joe Biden,9658
maryland,allegany,Donald Trump,30641
maryland,anne arundel,Joe Biden,309617
maryland,baltimore,Joe Biden,414932
maryland,baltimore city,Joe Biden,237461
maryland,calvert,Donald Trump,49112
maryland,caroline,Donald Trump,15794
maryland,carroll,Donald Trump,100327
maryland,cecil,Donald Trump,47462
maryland,charles,Joe Biden,89498
maryland,dorchester,Donald Trump,15977
maryland,frederick,Joe Biden,145615
maryland,garrett,Donald Trump,15611
maryland,harford,Donald Trump,148186
maryland,howard,Joe Biden,183062
maryland,kent,Joe Biden,10794
maryland,montgomery,Joe Biden,533743
maryland,prince george's,Joe Biden,424855
maryland,queen anne's,Donald Trump,30290
maryland,somerset,Donald Trump,10147
maryland,st. mary's,Donald Trump,55665
maryland,talbot,Joe Biden,22555
maryland,washington,Donald Trump,67779
maryland,wicomico,Donald Trump,46216
maryland,worcester,Donald Trump,31691
massachusetts,barnstable,Joe Biden,28427
massachusetts,essex,Joe Biden,2512
massachusetts,franklin,Joe Biden,20346
massachusetts,hampden,Donald Trump,3339
massachusetts,nantucket,Joe Biden,7306
massachusetts,norfolk,Joe Biden,6853
massachusetts,plymouth,Joe Biden,37336
massachusetts,worcester,Joe Biden,71370
michigan,alcona,Donald Trump,7064
michigan,alger,Donald Trump,5128
michigan,allegan,Donald Trump,67094
michigan,alpena,Donald Trump,16969
michigan,antrim,Donald Trump,15949
michigan,arenac,Donald Trump,8831
michigan,baraga,Donald Trump,4038
michigan,barry,Donald Trump,35905
michigan,bay,Donald Trump,60255
michigan,benzie,Donald Trump,12262
michigan,berrien,Donald Trump,82391
michigan,branch,Donald Trump,20536
michigan,calhoun,Donald Trump,66281
michigan,cass,Donald Trump,26216
michigan,charlevoix,Donald Trump,17000
michigan,cheboygan,Donald Trump,15868
michigan,chippewa,Donald Trump,17642
michigan,clare,Donald Trump,16281
michigan,clinton,Donald Trump,47927
michigan,crawford,Donald Trump,7861
michigan,delta,Donald Trump,21151
michigan,dickinson,Donald Trump,14589
michigan,eaton,Donald Trump,64327
michigan,emmet,Donald Trump,22177
michigan,genesee,Joe Biden,221360
michigan,gladwin,Donald Trump,14603
michigan,gogebic,Donald Trump,8266
michigan,grand traverse,Donald Trump,60236
michigan,gratiot,Donald Trump,19127
michigan,hillsdale,Donald Trump,23302
michigan,houghton,Donald Trump,18501
michigan,huron,Donald Trump,18437
michigan,ingham,Joe Biden,144550
michigan,ionia,Donald Trump,32209
michigan,iosco,Donald Trump,15363
michigan,iron,Donald Trump,6789
michigan,isabella,Donald Trump,29421
michigan,jackson,Donald Trump,80861
michigan,kalamazoo,Joe Biden,143414
michigan,kalkaska,Donald Trump,10631
michigan,kent,Joe Biden,361048
michigan,keweenaw,Donald Trump,1557
michigan,lake,Donald Trump,6323
michigan,lapeer,Donald Trump,52650
michigan,leelanau,Joe Biden,16900
michigan,lenawee,Donald Trump,53375
michigan,livingston,Donald Trump,127197
michigan,luce,Donald Trump,3001
michigan,mackinac,Donald Trump,7015
michigan,macomb,Donald Trump,494256
michigan,manistee,Donald Trump,14655
michigan,marquette,Joe Biden,37462
michigan,mason,Donald Trump,17254
michigan,mecosta,Donald Trump,21049
michigan,menominee,Donald Trump,12607
michigan,midland,Donald Trump,49088
michigan,missaukee,Donald Trump,8755
michigan,monroe,Donald Trump,87148
michigan,montcalm,Donald Trump,32100
michigan,montmorency,Donald Trump,5859
michigan,muskegon,Joe Biden,92444
michigan,newaygo,Donald Trump,27161
michigan,oakland,Joe Biden,770351
michigan,oceana,Donald Trump,14062
michigan,ogemaw,Donald Trump,11907
michigan,ontonagon,Donald Trump,3804
michigan,osceola,Donald Trump,12329
michigan,oscoda,Donald Trump,4874
michigan,otsego,Donald Trump,14757
michigan,ottawa,Donald Trump,168713
michigan,presque isle,Donald Trump,8344
michigan,roscommon,Donald Trump,15018
michigan,saginaw,Joe Biden,103349
michigan,sanilac,Donald Trump,22446
michigan,schoolcraft,Donald Trump,4745
michigan,shiawassee,Donald Trump,39224
michigan,st. clair,Donald Trump,92064
michigan,st. joseph,Donald Trump,27936
michigan,tuscola,Donald Trump,29445
michigan,van buren,Donald Trump,39066
michigan,washtenaw,Joe Biden,216418
michigan,wayne,Joe Biden,872469
michigan,wexford,Donald Trump,18265
minnesota,aitkin,Donald Trump,10025
minnesota,anoka,Donald Trump,211132
minnesota,becker,Donald Trump,19401
minnesota,beltrami,Donald Trump,24189
minnesota,benton,Donald Trump,22260
minnesota,big stone,Donald Trump,2974
minnesota,blue earth,Joe Biden,36051
minnesota,brown,Donald Trump,14635
minnesota,carlton,Joe Biden,20369
minnesota,carver,Donald Trump,66361
minnesota,cass,Donald Trump,18289
minnesota,chippewa,Donald Trump,6611
minnesota,chisago,Donald Trump,34570
minnesota,clay,Joe Biden,32239
minnesota,clearwater,Donald Trump,4708
minnesota,cook,Joe Biden,3806
minnesota,cottonwood,Donald Trump,6107
minnesota,crow wing,Donald Trump,40173
minnesota,dakota,Joe Biden,262259
minnesota,dodge,Donald Trump,12187
minnesota,douglas,Donald Trump,24165
minnesota,faribault,Donald Trump,7914
minnesota,fillmore,Donald Trump,12141
minnesota,freeborn,Donald Trump,16818
minnesota,goodhue,Donald Trump,28636
minnesota,grant,Donald Trump,3654
minnesota,hennepin,Joe Biden,755969
minnesota,houston,Donald Trump,11440
minnesota,hubbard,Donald Trump,12965
minnesota,isanti,Donald Trump,24235
minnesota,itasca,Donald Trump,26561
minnesota,jackson,Donald Trump,5819
minnesota,kanabec,Donald Trump,9242
minnesota,kandiyohi,Donald Trump,23367
minnesota,kittson,Donald Trump,2639
minnesota,koochiching,Donald Trump,6922
minnesota,lac qui parle,Donald Trump,4040
minnesota,lake,Joe Biden,7202
minnesota,lake of the woods,Donald Trump,2408
minnesota,le sueur,Donald Trump,16818
minnesota,lincoln,Donald Trump,3115
minnesota,lyon,Donald Trump,12893
minnesota,mahnomen,Donald Trump,2304
minnesota,marshall,Donald Trump,5113
minnesota,martin,Donald Trump,11009
minnesota,mcleod,Donald Trump,20933
minnesota,meeker,Donald Trump,13529
minnesota,mille lacs,Donald Trump,14689
minnesota,morrison,Donald Trump,19558
minnesota,mower,Donald Trump,19345
minnesota,murray,Donald Trump,4896
minnesota,nicollet,Joe Biden,19125
minnesota,nobles,Donald Trump,8715
minnesota,norman,Donald Trump,3441
minnesota,olmsted,Joe Biden,91385
minnesota,otter tail,Donald Trump,36399
minnesota,pennington,Donald Trump,7277
minnesota,pine,Donald Trump,16001
minnesota,pipestone,Donald Trump,4940
minnesota,polk,Donald Trump,15594
minnesota,pope,Donald Trump,7022
minnesota,ramsey,Joe Biden,295977
minnesota,red lake,Donald Trump,2196
minnesota,redwood,Donald Trump,8284
minnesota,renville,Donald Trump,8128
minnesota,rice,Donald Trump,35686
minnesota,rock,Donald Trump,5240
minnesota,roseau,Donald Trump,8421
minnesota,scott,Donald Trump,87965
minnesota,sherburne,Donald Trump,55612
minnesota,sibley,Donald Trump,8452
minnesota,stearns,Donald Trump,84835
minnesota,steele,Donald Trump,21128
minnesota,stevens,Donald Trump,5085
minnesota,swift,Donald Trump,5193
minnesota,todd,Donald Trump,13257
minnesota,traverse,Donald Trump,1864
minnesota,wabasha,Donald Trump,13123
minnesota,wadena,Donald Trump,7677
minnesota,waseca,Donald Trump,10389
minnesota,washington,Joe Biden,166786
minnesota,watonwan,Donald Trump,5201
minnesota,wilkin,Donald Trump,3430
minnesota,winona,Joe Biden,27173
minnesota,wright,Donald Trump,82426
minnesota,yellow medicine,Donald Trump,5528
mississippi,adams,Joe Biden,13759
mississippi,alcorn,Donald Trump,15813
mississippi,amite,Donald Trump,7207
mississippi,attala,Donald Trump,8832
mississippi,benton,Donald Trump,4292
mississippi,bolivar,Joe Biden,13755
mississippi,calhoun,Donald Trump,6595
mississippi,carroll,Donald Trump,5705
mississippi,chickasaw,Donald Trump,8148
mississippi,choctaw,Donald Trump,4225
mississippi,claiborne,Joe Biden,4453
mississippi,clarke,Donald Trump,8347
mississippi,clay,Joe Biden,10206
mississippi,coahoma,Joe Biden,8507
mississippi,copiah,Joe Biden,12897
mississippi,covington,Donald Trump,9371
mississippi,desoto,Donald Trump,76248
mississippi,forrest,Donald Trump,31725
mississippi,franklin,Donald Trump,4464
mississippi,george,Donald Trump,11064
mississippi,greene,Donald Trump,5816
mississippi,grenada,Donald Trump,10919
mississippi,hancock,Donald Trump,20957
mississippi,harrison,Donald Trump,75865
mississippi,hinds,Joe Biden,100191
mississippi,holmes,Joe Biden,8115
mississippi,humphreys,Joe Biden,4189
mississippi,issaquena,Joe Biden,676
mississippi,itawamba,Donald Trump,10826
mississippi,jackson,Donald Trump,54623
mississippi,jasper,Joe Biden,8742
mississippi,jefferson,Joe Biden,3911
mississippi,jones,Donald Trump,30091
mississippi,kemper,Joe Biden,4732
mississippi,lafayette,Donald Trump,23481
mississippi,lamar,Donald Trump,28526
mississippi,lauderdale,Donald Trump,31266
mississippi,lawrence,Donald Trump,6617
mississippi,leake,Donald Trump,9204
mississippi,lee,Donald Trump,37003
mississippi,leflore,Joe Biden,10893
mississippi,lincoln,Donald Trump,16818
mississippi,lowndes,Donald Trump,27274
mississippi,madison,Donald Trump,56335
mississippi,marion,Donald Trump,12194
mississippi,marshall,Joe Biden,15830
mississippi,monroe,Donald Trump,17279
mississippi,montgomery,Donald Trump,5078
mississippi,neshoba,Donald Trump,11720
mississippi,newton,Donald Trump,10189
mississippi,noxubee,Joe Biden,5341
mississippi,oktibbeha,Joe Biden,19812
mississippi,panola,Donald Trump,15635
mississippi,pearl river,Donald Trump,24056
mississippi,perry,Donald Trump,5922
mississippi,pike,Joe Biden,17360
mississippi,pontotoc,Donald Trump,14377
mississippi,prentiss,Donald Trump,10661
mississippi,quitman,Joe Biden,3229
mississippi,rankin,Donald Trump,70655
mississippi,scott,Donald Trump,10744
mississippi,sharkey,Joe Biden,2183
mississippi,simpson,Donald Trump,11820
mississippi,smith,Donald Trump,8327
mississippi,stone,Donald Trump,7878
mississippi,sunflower,Joe Biden,9683
mississippi,tallahatchie,Joe Biden,5691
mississippi,tate,Donald Trump,13101
mississippi,tippah,Donald Trump,10102
mississippi,tishomingo,Donald Trump,9147
mississippi,tunica,Joe Biden,3565
mississippi,union,Donald Trump,12683
mississippi,walthall,Donald Trump,7122
mississippi,warren,Joe Biden,21056
mississippi,washington,Joe Biden,18025
mississippi,wayne,Donald Trump,10066
mississippi,webster,Donald Trump,5402
mississippi,wilkinson,Joe Biden,4130
mississippi,winston,Donald Trump,9244
mississippi,yalobusha,Donald Trump,6538
mississippi,yazoo,Joe Biden,10441
missouri,adair,Donald Trump,10336
missouri,andrew,Donald Trump,9752
missouri,atchison,Donald Trump,2814
missouri,audrain,Donald Trump,10656
missouri,barry,Donald Trump,15598
missouri,barton,Donald Trump,6077
missouri,bates,Donald Trump,8416
missouri,benton,Donald Trump,10476
missouri,bollinger,Donald Trump,5983
missouri,boone,Joe Biden,91168
missouri,buchanan,Donald Trump,36598
missouri,butler,Donald Trump,18141
missouri,caldwell,Donald Trump,4682
missouri,callaway,Donald Trump,21144
missouri,camden,Donald Trump,24812
missouri,cape girardeau,Donald Trump,40328
missouri,carroll,Donald Trump,4532
missouri,carter,Donald Trump,2897
missouri,cass,Donald Trump,57408
missouri,cedar,Donald Trump,7044
missouri,chariton,Donald Trump,4077
missouri,christian,Donald Trump,46839
missouri,clark,Donald Trump,3394
missouri,clay,Donald Trump,126569
missouri,clinton,Donald Trump,10888
missouri,cole,Donald Trump,39529
missouri,cooper,Donald Trump,8693
missouri,crawford,Donald Trump,10973
missouri,dade,Donald Trump,4119
missouri,dallas,Donald Trump,8104
missouri,daviess,Donald Trump,3911
missouri,dekalb,Donald Trump,4843
missouri,dent,Donald Trump,7142
missouri,douglas,Donald Trump,7000
missouri,dunklin,Donald Trump,10419
missouri,franklin,Donald Trump,53685
missouri,gasconade,Donald Trump,7923
missouri,gentry,Donald Trump,3237
missouri,greene,Donald Trump,141800
missouri,grundy,Donald Trump,4437
missouri,harrison,Donald Trump,3826
missouri,henry,Donald Trump,10788
missouri,hickory,Donald Trump,5080
missouri,holt,Donald Trump,2343
missouri,howard,Donald Trump,5092
missouri,howell,Donald Trump,18650
missouri,iron,Donald Trump,4592
missouri,jackson,Joe Biden,333063
missouri,jasper,Donald Trump,52352
missouri,jefferson,Donald Trump,116688
missouri,johnson,Donald Trump,23123
missouri,knox,Donald Trump,1854
missouri,laclede,Donald Trump,16793
missouri,lafayette,Donald Trump,17055
missouri,lawrence,Donald Trump,17905
missouri,lewis,Donald Trump,4609
missouri,lincoln,Donald Trump,29018
missouri,linn,Donald Trump,5726
missouri,livingston,Donald Trump,6758
missouri,macon,Donald Trump,7836
missouri,madison,Donald Trump,5676
missouri,maries,Donald Trump,4771
