state,county,candidate,party,candidate votes,total votes
alabama,lawrence,Donald Trump,republican,10833,14829
alabama,lawrence,Other,NA,369,14829
alabama,lee,Hillary Clinton,democrat,21230,59191
alabama,lee,Donald Trump,republican,34617,59191
alabama,lee,Other,NA,3344,59191
alabama,limestone,Hillary Clinton,democrat,9468,40294
alabama,limestone,Donald Trump,republican,29067,40294
alabama,limestone,Other,NA,1759,40294
alabama,lowndes,Hillary Clinton,democrat,4883,6684
alabama,lowndes,Donald Trump,republican,1751,6684
alabama,lowndes,Other,NA,50,6684
alabama,macon,Hillary Clinton,democrat,7566,9140
alabama,macon,Donald Trump,republican,1431,9140
alabama,macon,Other,NA,143,9140
alabama,madison,Hillary Clinton,democrat,62822,163389
alabama,madison,Donald Trump,republican,89520,163389
alabama,madison,Other,NA,11047,163389
alabama,marengo,Hillary Clinton,democrat,5615,10994
alabama,marengo,Donald Trump,republican,5233,10994
alabama,marengo,Other,NA,146,10994
alabama,marion,Hillary Clinton,democrat,1432,12984
alabama,marion,Donald Trump,republican,11274,12984
alabama,marion,Other,NA,278,12984
alabama,marshall,Hillary Clinton,democrat,4917,35316
alabama,marshall,Donald Trump,republican,29233,35316
alabama,marshall,Other,NA,1166,35316
alabama,mobile,Hillary Clinton,democrat,72186,172737
alabama,mobile,Donald Trump,republican,95116,172737
alabama,mobile,Other,NA,5435,172737
alabama,monroe,Hillary Clinton,democrat,4332,10271
alabama,monroe,Donald Trump,republican,5795,10271
alabama,monroe,Other,NA,144,10271
alabama,montgomery,Hillary Clinton,democrat,58916,95878
alabama,montgomery,Donald Trump,republican,34003,95878
alabama,montgomery,Other,NA,2959,95878
alabama,morgan,Hillary Clinton,democrat,11254,50644
alabama,morgan,Donald Trump,republican,37486,50644
alabama,morgan,Other,NA,1904,50644
alabama,perry,Hillary Clinton,democrat,3824,5278
alabama,perry,Donald Trump,republican,1407,5278
alabama,perry,Other,NA,47,5278
alabama,pickens,Hillary Clinton,democrat,3972,9542
alabama,pickens,Donald Trump,republican,5456,9542
alabama,pickens,Other,NA,114,9542
alabama,pike,Hillary Clinton,democrat,5056,13168
alabama,pike,Donald Trump,republican,7693,13168
alabama,pike,Other,NA,419,13168
alabama,randolph,Hillary Clinton,democrat,2291,10187
alabama,randolph,Donald Trump,republican,7705,10187
alabama,randolph,Other,NA,191,10187
alabama,russell,Hillary Clinton,democrat,9579,19256
alabama,russell,Donald Trump,republican,9210,19256
alabama,russell,Other,NA,467,19256
alabama,st. clair,Hillary Clinton,democrat,5589,38400
alabama,st. clair,Donald Trump,republican,31651,38400
alabama,st. clair,Other,NA,1160,38400
alabama,shelby,Hillary Clinton,democrat,22977,101254
alabama,shelby,Donald Trump,republican,73020,101254
alabama,shelby,Other,NA,5257,101254
