state,county,candidate,party,candidate votes,total votes
illinois,coles,Other,NA,1551,21863
illinois,cook,Hillary Clinton,democrat,1611946,2158615
illinois,cook,Donald Trump,republican,453287,2158615
illinois,cook,Other,NA,93382,2158615
illinois,crawford,Hillary Clinton,democrat,1992,8728
illinois,crawford,Donald Trump,republican,6277,8728
illinois,crawford,Other,NA,459,8728
illinois,cumberland,Hillary Clinton,democrat,1031,5567
illinois,cumberland,Donald Trump,republican,4206,5567
illinois,cumberland,Other,NA,330,5567
illinois,dekalb,Hillary Clinton,democrat,20466,43600
illinois,dekalb,Donald Trump,republican,19091,43600
illinois,dekalb,Other,NA,4043,43600
illinois,de witt,Hillary Clinton,democrat,1910,7543
illinois,de witt,Donald Trump,republican,5077,7543
illinois,de witt,Other,NA,556,7543
illinois,douglas,Hillary Clinton,democrat,1949,8169
illinois,douglas,Donald Trump,republican,5698,8169
illinois,douglas,Other,NA,522,8169
illinois,dupage,Hillary Clinton,democrat,228622,428769
illinois,dupage,Donald Trump,republican,166415,428769
illinois,dupage,Other,NA,33732,428769
illinois,edgar,Hillary Clinton,democrat,1793,7873
illinois,edgar,Donald Trump,republican,5645,7873
illinois,edgar,Other,NA,435,7873
illinois,edwards,Hillary Clinton,democrat,434,3347
illinois,edwards,Donald Trump,republican,2778,3347
illinois,edwards,Other,NA,135,3347
illinois,effingham,Hillary Clinton,democrat,3083,17609
illinois,effingham,Donald Trump,republican,13635,17609
illinois,effingham,Other,NA,891,17609
illinois,fayette,Hillary Clinton,democrat,1819,9585
illinois,fayette,Donald Trump,republican,7372,9585
illinois,fayette,Other,NA,394,9585
illinois,ford,Hillary Clinton,democrat,1414,6396
illinois,ford,Donald Trump,republican,4480,6396
illinois,ford,Other,NA,502,6396
illinois,franklin,Hillary Clinton,democrat,4727,18711
illinois,franklin,Donald Trump,republican,13116,18711
illinois,franklin,Other,NA,868,18711
illinois,fulton,Hillary Clinton,democrat,6133,15797
illinois,fulton,Donald Trump,republican,8492,15797
illinois,fulton,Other,NA,1172,15797
illinois,gallatin,Hillary Clinton,democrat,657,2707
illinois,gallatin,Donald Trump,republican,1942,2707
illinois,gallatin,Other,NA,108,2707
illinois,greene,Hillary Clinton,democrat,1205,5585
illinois,greene,Donald Trump,republican,4145,5585
illinois,greene,Other,NA,235,5585
illinois,grundy,Hillary Clinton,democrat,8065,23237
illinois,grundy,Donald Trump,republican,13454,23237
illinois,grundy,Other,NA,1718,23237
illinois,hamilton,Hillary Clinton,democrat,802,4166
illinois,hamilton,Donald Trump,republican,3206,4166
illinois,hamilton,Other,NA,158,4166
illinois,hancock,Hillary Clinton,democrat,2139,9121
illinois,hancock,Donald Trump,republican,6430,9121
illinois,hancock,Other,NA,552,9121
illinois,hardin,Hillary Clinton,democrat,420,2148
illinois,hardin,Donald Trump,republican,1653,2148
illinois,hardin,Other,NA,75,2148
illinois,henderson,Hillary Clinton,democrat,1155,3518
illinois,henderson,Donald Trump,republican,2155,3518
illinois,henderson,Other,NA,208,3518
illinois,henry,Hillary Clinton,democrat,8871,24643
illinois,henry,Donald Trump,republican,13985,24643
illinois,henry,Other,NA,1787,24643
illinois,iroquois,Hillary Clinton,democrat,2504,13064
illinois,iroquois,Donald Trump,republican,9750,13064
illinois,iroquois,Other,NA,810,13064
illinois,jackson,Hillary Clinton,democrat,11634,24617
illinois,jackson,Donald Trump,republican,10843,24617
illinois,jackson,Other,NA,2140,24617
illinois,jasper,Hillary Clinton,democrat,924,5136
illinois,jasper,Donald Trump,republican,3975,5136
illinois,jasper,Other,NA,237,5136
illinois,jefferson,Hillary Clinton,democrat,4425,16999
illinois,jefferson,Donald Trump,republican,11695,16999
illinois,jefferson,Other,NA,879,16999
illinois,jersey,Hillary Clinton,democrat,2679,10991
illinois,jersey,Donald Trump,republican,7748,10991
illinois,jersey,Other,NA,564,10991
illinois,jo daviess,Hillary Clinton,democrat,4462,11334
illinois,jo daviess,Donald Trump,republican,6121,11334
illinois,jo daviess,Other,NA,751,11334
illinois,johnson,Hillary Clinton,democrat,1142,6089
illinois,johnson,Donald Trump,republican,4649,6089
illinois,johnson,Other,NA,298,6089
illinois,kane,Hillary Clinton,democrat,103665,199314
illinois,kane,Donald Trump,republican,82734,199314
illinois,kane,Other,NA,12915,199314
illinois,kankakee,Hillary Clinton,democrat,18971,47305
illinois,kankakee,Donald Trump,republican,25129,47305
illinois,kankakee,Other,NA,3205,47305
illinois,kendall,Hillary Clinton,democrat,24884,53447
illinois,kendall,Donald Trump,republican,24961,53447
illinois,kendall,Other,NA,3602,53447
illinois,knox,Hillary Clinton,democrat,10083,22243
illinois,knox,Donald Trump,republican,10737,22243
illinois,knox,Other,NA,1423,22243
illinois,lake,Hillary Clinton,democrat,171095,303520
illinois,lake,Donald Trump,republican,109767,303520
illinois,lake,Other,NA,22658,303520
illinois,lasalle,Hillary Clinton,democrat,19543,49743
illinois,lasalle,Donald Trump,republican,26689,49743
illinois,lasalle,Other,NA,3511,49743
illinois,lawrence,Hillary Clinton,democrat,1290,6094
illinois,lawrence,Donald Trump,republican,4521,6094
illinois,lawrence,Other,NA,283,6094
illinois,lee,Hillary Clinton,democrat,5528,15489
illinois,lee,Donald Trump,republican,8612,15489
illinois,lee,Other,NA,1349,15489
illinois,livingston,Hillary Clinton,democrat,4023,15269
illinois,livingston,Donald Trump,republican,10208,15269
illinois,livingston,Other,NA,1038,15269
illinois,logan,Hillary Clinton,democrat,3313,12401
illinois,logan,Donald Trump,republican,8181,12401
illinois,logan,Other,NA,907,12401
illinois,mcdonough,Hillary Clinton,democrat,5288,13092
illinois,mcdonough,Donald Trump,republican,6795,13092
illinois,mcdonough,Other,NA,1009,13092
illinois,mchenry,Hillary Clinton,democrat,60803,141750
illinois,mchenry,Donald Trump,republican,71612,141750
illinois,mchenry,Other,NA,9335,141750
illinois,mclean,Hillary Clinton,democrat,36196,79835
illinois,mclean,Donald Trump,republican,37237,79835
illinois,mclean,Other,NA,6402,79835
illinois,macon,Hillary Clinton,democrat,18343,48060
illinois,macon,Donald Trump,republican,26866,48060
illinois,macon,Other,NA,2851,48060
illinois,macoupin,Hillary Clinton,democrat,6689,22360
illinois,macoupin,Donald Trump,republican,14322,22360
illinois,macoupin,Other,NA,1349,22360
illinois,madison,Hillary Clinton,democrat,50587,130179
illinois,madison,Donald Trump,republican,70490,130179
illinois,madison,Other,NA,9102,130179
illinois,marion,Hillary Clinton,democrat,4369,17074
illinois,marion,Donald Trump,republican,11859,17074
illinois,marion,Other,NA,846,17074
illinois,marshall,Hillary Clinton,democrat,1789,5984
illinois,marshall,Donald Trump,republican,3785,5984
illinois,marshall,Other,NA,410,5984
illinois,mason,Hillary Clinton,democrat,2014,6486
illinois,mason,Donald Trump,republican,4058,6486
illinois,mason,Other,NA,414,6486
illinois,massac,Hillary Clinton,democrat,1558,6683
illinois,massac,Donald Trump,republican,4846,6683
illinois,massac,Other,NA,279,6683
illinois,menard,Hillary Clinton,democrat,1817,6515
illinois,menard,Donald Trump,republican,4231,6515
illinois,menard,Other,NA,467,6515
illinois,mercer,Hillary Clinton,democrat,3071,8525
illinois,mercer,Donald Trump,republican,4807,8525
illinois,mercer,Other,NA,647,8525
illinois,monroe,Hillary Clinton,democrat,5535,19354
illinois,monroe,Donald Trump,republican,12629,19354
illinois,monroe,Other,NA,1190,19354
illinois,montgomery,Hillary Clinton,democrat,3504,12978
illinois,montgomery,Donald Trump,republican,8630,12978
illinois,montgomery,Other,NA,844,12978
illinois,morgan,Hillary Clinton,democrat,4696,14800
illinois,morgan,Donald Trump,republican,9076,14800
illinois,morgan,Other,NA,1028,14800
illinois,moultrie,Hillary Clinton,democrat,1481,6283
illinois,moultrie,Donald Trump,republican,4455,6283
illinois,moultrie,Other,NA,347,6283
illinois,ogle,Hillary Clinton,democrat,8050,24193
illinois,ogle,Donald Trump,republican,14352,24193
illinois,ogle,Other,NA,1791,24193
illinois,peoria,Hillary Clinton,democrat,38060,78503
illinois,peoria,Donald Trump,republican,35633,78503
illinois,peoria,Other,NA,4810,78503
illinois,perry,Hillary Clinton,democrat,2462,9853
illinois,perry,Donald Trump,republican,6855,9853
illinois,perry,Other,NA,536,9853
illinois,piatt,Hillary Clinton,democrat,2645,9008
illinois,piatt,Donald Trump,republican,5634,9008
illinois,piatt,Other,NA,729,9008
illinois,pike,Hillary Clinton,democrat,1413,7530
illinois,pike,Donald Trump,republican,5754,7530
illinois,pike,Other,NA,363,7530
illinois,pope,Hillary Clinton,democrat,375,2142
illinois,pope,Donald Trump,republican,1678,2142
illinois,pope,Other,NA,89,2142
illinois,pulaski,Hillary Clinton,democrat,962,2735
illinois,pulaski,Donald Trump,republican,1675,2735
illinois,pulaski,Other,NA,98,2735
illinois,putnam,Hillary Clinton,democrat,1147,3111
illinois,putnam,Donald Trump,republican,1767,3111
illinois,putnam,Other,NA,197,3111
illinois,randolph,Hillary Clinton,democrat,3439,14194
illinois,randolph,Donald Trump,republican,10023,14194
illinois,randolph,Other,NA,732,14194
illinois,richland,Hillary Clinton,democrat,1584,7684
illinois,richland,Donald Trump,republican,5739,7684
illinois,richland,Other,NA,361,7684
illinois,rock island,Hillary Clinton,democrat,32298,63994
illinois,rock island,Donald Trump,republican,26998,63994
illinois,rock island,Other,NA,4698,63994
illinois,st. clair,Hillary Clinton,democrat,60756,120580
illinois,st. clair,Donald Trump,republican,53857,120580
illinois,st. clair,Other,NA,5967,120580
illinois,saline,Hillary Clinton,democrat,2572,11384
illinois,saline,Donald Trump,republican,8276,11384
illinois,saline,Other,NA,536,11384
illinois,sangamon,Hillary Clinton,democrat,40907,98373
illinois,sangamon,Donald Trump,republican,49944,98373
illinois,sangamon,Other,NA,7522,98373
illinois,schuyler,Hillary Clinton,democrat,1075,3828
illinois,schuyler,Donald Trump,republican,2524,3828
illinois,schuyler,Other,NA,229,3828
illinois,scott,Hillary Clinton,democrat,535,2608
illinois,scott,Donald Trump,republican,1966,2608
illinois,scott,Other,NA,107,2608
illinois,shelby,Hillary Clinton,democrat,2288,11010
illinois,shelby,Donald Trump,republican,8229,11010
illinois,shelby,Other,NA,493,11010
illinois,stark,Hillary Clinton,democrat,751,2743
illinois,stark,Donald Trump,republican,1778,2743
illinois,stark,Other,NA,214,2743
illinois,stephenson,Hillary Clinton,democrat,7768,20343
illinois,stephenson,Donald Trump,republican,11083,20343
illinois,stephenson,Other,NA,1492,20343
illinois,tazewell,Hillary Clinton,democrat,20685,64400
illinois,tazewell,Donald Trump,republican,38707,64400
illinois,tazewell,Other,NA,5008,64400
illinois,union,Hillary Clinton,democrat,2402,8537
illinois,union,Donald Trump,republican,5790,8537
illinois,union,Other,NA,345,8537
illinois,vermilion,Hillary Clinton,democrat,10039,30570
illinois,vermilion,Donald Trump,republican,19087,30570
illinois,vermilion,Other,NA,1444,30570
illinois,wabash,Hillary Clinton,democrat,1151,5464
illinois,wabash,Donald Trump,republican,4047,5464
illinois,wabash,Other,NA,266,5464
illinois,warren,Hillary Clinton,democrat,2987,7807
illinois,warren,Donald Trump,republican,4275,7807
illinois,warren,Other,NA,545,7807
illinois,washington,Hillary Clinton,democrat,1448,7427
illinois,washington,Donald Trump,republican,5571,7427
illinois,washington,Other,NA,408,7427
illinois,wayne,Hillary Clinton,democrat,1048,8261
illinois,wayne,Donald Trump,republican,6967,8261
illinois,wayne,Other,NA,246,8261
illinois,white,Hillary Clinton,democrat,1412,7335
illinois,white,Donald Trump,republican,5640,7335
illinois,white,Other,NA,283,7335
illinois,whiteside,Hillary Clinton,democrat,11035,25582
illinois,whiteside,Donald Trump,republican,12615,25582
illinois,whiteside,Other,NA,1932,25582
illinois,will,Hillary Clinton,democrat,151927,300904
illinois,will,Donald Trump,republican,132720,300904
illinois,will,Other,NA,16257,300904
illinois,williamson,Hillary Clinton,democrat,8581,31852
illinois,williamson,Donald Trump,republican,21570,31852
illinois,williamson,Other,NA,1701,31852
illinois,winnebago,Hillary Clinton,democrat,55713,118376
illinois,winnebago,Donald Trump,republican,55624,118376
illinois,winnebago,Other,NA,7039,118376
illinois,woodford,Hillary Clinton,democrat,5092,19864
illinois,woodford,Donald Trump,republican,13207,19864
illinois,woodford,Other,NA,1565,19864
indiana,adams,Hillary Clinton,democrat,2805,13090
indiana,adams,Donald Trump,republican,9648,13090
indiana,adams,Other,NA,637,13090
indiana,allen,Hillary Clinton,democrat,55382,147137
indiana,allen,Donald Trump,republican,83930,147137
indiana,allen,Other,NA,7825,147137
indiana,bartholomew,Hillary Clinton,democrat,9841,32490
indiana,bartholomew,Donald Trump,republican,20640,32490
indiana,bartholomew,Other,NA,2009,32490
indiana,benton,Hillary Clinton,democrat,860,3666
indiana,benton,Donald Trump,republican,2579,3666
indiana,benton,Other,NA,227,3666
indiana,blackford,Hillary Clinton,democrat,1243,4839
indiana,blackford,Donald Trump,republican,3350,4839
indiana,blackford,Other,NA,246,4839
indiana,boone,Hillary Clinton,democrat,10181,32178
indiana,boone,Donald Trump,republican,19654,32178
indiana,boone,Other,NA,2343,32178
indiana,brown,Hillary Clinton,democrat,2518,7945
indiana,brown,Donald Trump,republican,5016,7945
indiana,brown,Other,NA,411,7945
indiana,carroll,Hillary Clinton,democrat,1892,8643
indiana,carroll,Donald Trump,republican,6273,8643
indiana,carroll,Other,NA,478,8643
indiana,cass,Hillary Clinton,democrat,3759,14209
indiana,cass,Donald Trump,republican,9701,14209
indiana,cass,Other,NA,749,14209
indiana,clark,Hillary Clinton,democrat,18808,51147
indiana,clark,Donald Trump,republican,30035,51147
indiana,clark,Other,NA,2304,51147
indiana,clay,Hillary Clinton,democrat,2306,11282
indiana,clay,Donald Trump,republican,8531,11282
indiana,clay,Other,NA,445,11282
indiana,clinton,Hillary Clinton,democrat,2819,11936
indiana,clinton,Donald Trump,republican,8531,11936
indiana,clinton,Other,NA,586,11936
indiana,crawford,Hillary Clinton,democrat,1323,4593
indiana,crawford,Donald Trump,republican,3015,4593
indiana,crawford,Other,NA,255,4593
indiana,daviess,Hillary Clinton,democrat,1800,10768
indiana,daviess,Donald Trump,republican,8545,10768
indiana,daviess,Other,NA,423,10768
indiana,dearborn,Hillary Clinton,democrat,4883,23987
indiana,dearborn,Donald Trump,republican,18113,23987
indiana,dearborn,Other,NA,991,23987
indiana,decatur,Hillary Clinton,democrat,2121,11127
indiana,decatur,Donald Trump,republican,8490,11127
indiana,decatur,Other,NA,516,11127
indiana,dekalb,Hillary Clinton,democrat,3942,16902
indiana,dekalb,Donald Trump,republican,12054,16902
indiana,dekalb,Other,NA,906,16902
indiana,delaware,Hillary Clinton,democrat,18153,45123
indiana,delaware,Donald Trump,republican,24263,45123
indiana,delaware,Other,NA,2707,45123
indiana,dubois,Hillary Clinton,democrat,5389,19984
indiana,dubois,Donald Trump,republican,13365,19984
indiana,dubois,Other,NA,1230,19984
indiana,elkhart,Hillary Clinton,democrat,20740,65630
indiana,elkhart,Donald Trump,republican,41867,65630
indiana,elkhart,Other,NA,3023,65630
indiana,fayette,Hillary Clinton,democrat,2252,9530
indiana,fayette,Donald Trump,republican,6839,9530
indiana,fayette,Other,NA,439,9530
indiana,floyd,Hillary Clinton,democrat,13945,37425
indiana,floyd,Donald Trump,republican,21432,37425
indiana,floyd,Other,NA,2048,37425
indiana,fountain,Hillary Clinton,democrat,1476,7492
indiana,fountain,Donald Trump,republican,5662,7492
indiana,fountain,Other,NA,354,7492
indiana,franklin,Hillary Clinton,democrat,1969,11013
indiana,franklin,Donald Trump,republican,8669,11013
indiana,franklin,Other,NA,375,11013
indiana,fulton,Hillary Clinton,democrat,1960,8374
indiana,fulton,Donald Trump,republican,6010,8374
indiana,fulton,Other,NA,404,8374
indiana,gibson,Hillary Clinton,democrat,3721,15484
indiana,gibson,Donald Trump,republican,11081,15484
indiana,gibson,Other,NA,682,15484
indiana,grant,Hillary Clinton,democrat,7010,25312
indiana,grant,Donald Trump,republican,17008,25312
indiana,grant,Other,NA,1294,25312
indiana,greene,Hillary Clinton,democrat,2929,13801
indiana,greene,Donald Trump,republican,10277,13801
indiana,greene,Other,NA,595,13801
indiana,hamilton,Hillary Clinton,democrat,57263,154256
indiana,hamilton,Donald Trump,republican,87404,154256
indiana,hamilton,Other,NA,9589,154256
indiana,hancock,Hillary Clinton,democrat,8904,36181
indiana,hancock,Donald Trump,republican,25074,36181
indiana,hancock,Other,NA,2203,36181
indiana,harrison,Hillary Clinton,democrat,4783,18558
indiana,harrison,Donald Trump,republican,12943,18558
indiana,harrison,Other,NA,832,18558
indiana,hendricks,Hillary Clinton,democrat,22600,75559
indiana,hendricks,Donald Trump,republican,48337,75559
indiana,hendricks,Other,NA,4622,75559
indiana,henry,Hillary Clinton,democrat,5124,20155
indiana,henry,Donald Trump,republican,13895,20155
indiana,henry,Other,NA,1136,20155
indiana,howard,Hillary Clinton,democrat,11215,36843
indiana,howard,Donald Trump,republican,23675,36843
indiana,howard,Other,NA,1953,36843
indiana,huntington,Hillary Clinton,democrat,3506,16043
indiana,huntington,Donald Trump,republican,11649,16043
indiana,huntington,Other,NA,888,16043
indiana,jackson,Hillary Clinton,democrat,3843,17573
indiana,jackson,Donald Trump,republican,12859,17573
indiana,jackson,Other,NA,871,17573
indiana,jasper,Hillary Clinton,democrat,3329,13378
indiana,jasper,Donald Trump,republican,9382,13378
indiana,jasper,Other,NA,667,13378
indiana,jay,Hillary Clinton,democrat,1889,7986
indiana,jay,Donald Trump,republican,5697,7986
indiana,jay,Other,NA,400,7986
indiana,jefferson,Hillary Clinton,democrat,4326,13544
indiana,jefferson,Donald Trump,republican,8546,13544
indiana,jefferson,Other,NA,672,13544
indiana,jennings,Hillary Clinton,democrat,2364,11150
indiana,jennings,Donald Trump,republican,8224,11150
indiana,jennings,Other,NA,562,11150
indiana,johnson,Hillary Clinton,democrat,17318,66500
indiana,johnson,Donald Trump,republican,45456,66500
indiana,johnson,Other,NA,3726,66500
indiana,knox,Hillary Clinton,democrat,3772,15516
indiana,knox,Donald Trump,republican,11077,15516
indiana,knox,Other,NA,667,15516
indiana,kosciusko,Hillary Clinton,democrat,6313,32084
indiana,kosciusko,Donald Trump,republican,23935,32084
indiana,kosciusko,Other,NA,1836,32084
indiana,lagrange,Hillary Clinton,democrat,2080,9566
indiana,lagrange,Donald Trump,republican,7025,9566
indiana,lagrange,Other,NA,461,9566
indiana,lake,Hillary Clinton,democrat,116935,201205
indiana,lake,Donald Trump,republican,75625,201205
indiana,lake,Other,NA,8645,201205
indiana,laporte,Hillary Clinton,democrat,19798,45203
indiana,laporte,Donald Trump,republican,22687,45203
indiana,laporte,Other,NA,2718,45203
indiana,lawrence,Hillary Clinton,democrat,4210,19152
indiana,lawrence,Donald Trump,republican,14035,19152
indiana,lawrence,Other,NA,907,19152
indiana,madison,Hillary Clinton,democrat,18595,53909
indiana,madison,Donald Trump,republican,32376,53909
indiana,madison,Other,NA,2938,53909
indiana,marion,Hillary Clinton,democrat,212899,362372
indiana,marion,Donald Trump,republican,130360,362372
indiana,marion,Other,NA,19113,362372
indiana,marshall,Hillary Clinton,democrat,4798,18082
indiana,marshall,Donald Trump,republican,12288,18082
indiana,marshall,Other,NA,996,18082
indiana,martin,Hillary Clinton,democrat,881,4809
indiana,martin,Donald Trump,republican,3697,4809
indiana,martin,Other,NA,231,4809
indiana,miami,Hillary Clinton,democrat,2766,13482
indiana,miami,Donald Trump,republican,9975,13482
indiana,miami,Other,NA,741,13482
indiana,monroe,Hillary Clinton,democrat,34216,58454
indiana,monroe,Donald Trump,republican,20592,58454
indiana,monroe,Other,NA,3646,58454
indiana,montgomery,Hillary Clinton,democrat,3362,15156
indiana,montgomery,Donald Trump,republican,11059,15156
indiana,montgomery,Other,NA,735,15156
indiana,morgan,Hillary Clinton,democrat,6040,31280
indiana,morgan,Donald Trump,republican,23674,31280
indiana,morgan,Other,NA,1566,31280
indiana,newton,Hillary Clinton,democrat,1404,5795
indiana,newton,Donald Trump,republican,4077,5795
indiana,newton,Other,NA,314,5795
indiana,noble,Hillary Clinton,democrat,3904,16890
indiana,noble,Donald Trump,republican,12198,16890
indiana,noble,Other,NA,788,16890
indiana,ohio,Hillary Clinton,democrat,686,2921
indiana,ohio,Donald Trump,republican,2118,2921
indiana,ohio,Other,NA,117,2921
indiana,orange,Hillary Clinton,democrat,2048,8192
indiana,orange,Donald Trump,republican,5803,8192
indiana,orange,Other,NA,341,8192
indiana,owen,Hillary Clinton,democrat,1946,8557
indiana,owen,Donald Trump,republican,6153,8557
indiana,owen,Other,NA,458,8557
indiana,parke,Hillary Clinton,democrat,1441,6582
indiana,parke,Donald Trump,republican,4863,6582
indiana,parke,Other,NA,278,6582
indiana,perry,Hillary Clinton,democrat,3062,8055
indiana,perry,Donald Trump,republican,4556,8055
indiana,perry,Other,NA,437,8055
indiana,pike,Hillary Clinton,democrat,1297,5977
indiana,pike,Donald Trump,republican,4398,5977
indiana,pike,Other,NA,282,5977
indiana,porter,Hillary Clinton,democrat,33676,77190
indiana,porter,Donald Trump,republican,38832,77190
indiana,porter,Other,NA,4682,77190
indiana,posey,Hillary Clinton,democrat,3521,12467
indiana,posey,Donald Trump,republican,8404,12467
indiana,posey,Other,NA,542,12467
indiana,pulaski,Hillary Clinton,democrat,1327,5459
indiana,pulaski,Donald Trump,republican,3854,5459
indiana,pulaski,Other,NA,278,5459
indiana,putnam,Hillary Clinton,democrat,3356,14715
indiana,putnam,Donald Trump,republican,10637,14715
indiana,putnam,Other,NA,722,14715
indiana,randolph,Hillary Clinton,democrat,2446,10458
indiana,randolph,Donald Trump,republican,7517,10458
indiana,randolph,Other,NA,495,10458
indiana,ripley,Hillary Clinton,democrat,2471,12810
indiana,ripley,Donald Trump,republican,9806,12810
indiana,ripley,Other,NA,533,12810
indiana,rush,Hillary Clinton,democrat,1525,7214
indiana,rush,Donald Trump,republican,5292,7214
indiana,rush,Other,NA,397,7214
indiana,st. joseph,Hillary Clinton,democrat,52252,110060
indiana,st. joseph,Donald Trump,republican,52021,110060
indiana,st. joseph,Other,NA,5787,110060
indiana,scott,Hillary Clinton,democrat,2642,9101
indiana,scott,Donald Trump,republican,6074,9101
indiana,scott,Other,NA,385,9101
indiana,shelby,Hillary Clinton,democrat,4247,17994
indiana,shelby,Donald Trump,republican,12718,17994
indiana,shelby,Other,NA,1029,17994
indiana,spencer,Hillary Clinton,democrat,2861,9979
indiana,spencer,Donald Trump,republican,6572,9979
indiana,spencer,Other,NA,546,9979
indiana,starke,Hillary Clinton,democrat,2489,9226
indiana,starke,Donald Trump,republican,6367,9226
indiana,starke,Other,NA,370,9226
indiana,steuben,Hillary Clinton,democrat,3744,14566
indiana,steuben,Donald Trump,republican,10133,14566
indiana,steuben,Other,NA,689,14566
indiana,sullivan,Hillary Clinton,democrat,2113,8559
indiana,sullivan,Donald Trump,republican,6138,8559
indiana,sullivan,Other,NA,308,8559
indiana,switzerland,Hillary Clinton,democrat,930,3699
indiana,switzerland,Donald Trump,republican,2558,3699
indiana,switzerland,Other,NA,211,3699
indiana,tippecanoe,Hillary Clinton,democrat,27282,62515
indiana,tippecanoe,Donald Trump,republican,30768,62515
indiana,tippecanoe,Other,NA,4465,62515
indiana,tipton,Hillary Clinton,democrat,1587,7510
indiana,tipton,Donald Trump,republican,5589,7510
indiana,tipton,Other,NA,334,7510
indiana,union,Hillary Clinton,democrat,715,3291
indiana,union,Donald Trump,republican,2445,3291
indiana,union,Other,NA,131,3291
indiana,vanderburgh,Hillary Clinton,democrat,28530,72507
indiana,vanderburgh,Donald Trump,republican,40496,72507
indiana,vanderburgh,Other,NA,3481,72507
indiana,vermillion,Hillary Clinton,democrat,2081,6939
indiana,vermillion,Donald Trump,republican,4513,6939
indiana,vermillion,Other,NA,345,6939
indiana,vigo,Hillary Clinton,democrat,15931,39818
indiana,vigo,Donald Trump,republican,21937,39818
indiana,vigo,Other,NA,1950,39818
indiana,wabash,Hillary Clinton,democrat,3018,13468
indiana,wabash,Donald Trump,republican,9821,13468
indiana,wabash,Other,NA,629,13468
indiana,warren,Hillary Clinton,democrat,839,3930
indiana,warren,Donald Trump,republican,2898,3930
indiana,warren,Other,NA,193,3930
indiana,warrick,Hillary Clinton,democrat,9086,29589
indiana,warrick,Donald Trump,republican,19113,29589
indiana,warrick,Other,NA,1390,29589
indiana,washington,Hillary Clinton,democrat,2636,11382
indiana,washington,Donald Trump,republican,8209,11382
indiana,washington,Other,NA,537,11382
indiana,wayne,Hillary Clinton,democrat,8322,25579
indiana,wayne,Donald Trump,republican,16028,25579
indiana,wayne,Other,NA,1229,25579
indiana,wells,Hillary Clinton,democrat,2586,13185
indiana,wells,Donald Trump,republican,10005,13185
indiana,wells,Other,NA,594,13185
indiana,white,Hillary Clinton,democrat,2590,10053
indiana,white,Donald Trump,republican,6893,10053
indiana,white,Other,NA,570,10053
indiana,whitley,Hillary Clinton,democrat,3379,15623
indiana,whitley,Donald Trump,republican,11358,15623
indiana,whitley,Other,NA,886,15623
iowa,adair,Hillary Clinton,democrat,1133,3811
iowa,adair,Donald Trump,republican,2461,3811
iowa,adair,Other,NA,217,3811
iowa,adams,Hillary Clinton,democrat,565,2106
iowa,adams,Donald Trump,republican,1395,2106
iowa,adams,Other,NA,146,2106
iowa,allamakee,Hillary Clinton,democrat,2421,6923
iowa,allamakee,Donald Trump,republican,4093,6923
iowa,allamakee,Other,NA,409,6923
iowa,appanoose,Hillary Clinton,democrat,1814,6136
iowa,appanoose,Donald Trump,republican,4033,6136
iowa,appanoose,Other,NA,289,6136
iowa,audubon,Hillary Clinton,democrat,1080,3412
iowa,audubon,Donald Trump,republican,2136,3412
iowa,audubon,Other,NA,196,3412
iowa,benton,Hillary Clinton,democrat,4678,13844
iowa,benton,Donald Trump,republican,8232,13844
iowa,benton,Other,NA,934,13844
iowa,black hawk,Hillary Clinton,democrat,32233,64405
iowa,black hawk,Donald Trump,republican,27476,64405
iowa,black hawk,Other,NA,4696,64405
iowa,boone,Hillary Clinton,democrat,5541,14196
iowa,boone,Donald Trump,republican,7484,14196
iowa,boone,Other,NA,1171,14196
iowa,bremer,Hillary Clinton,democrat,5356,13538
iowa,bremer,Donald Trump,republican,7208,13538
iowa,bremer,Other,NA,974,13538
iowa,buchanan,Hillary Clinton,democrat,3970,10252
iowa,buchanan,Donald Trump,republican,5510,10252
iowa,buchanan,Other,NA,772,10252
iowa,buena vista,Hillary Clinton,democrat,2856,8278
iowa,buena vista,Donald Trump,republican,4903,8278
iowa,buena vista,Other,NA,519,8278
iowa,butler,Hillary Clinton,democrat,2157,7513
iowa,butler,Donald Trump,republican,4921,7513
iowa,butler,Other,NA,435,7513
iowa,calhoun,Hillary Clinton,democrat,1398,5159
iowa,calhoun,Donald Trump,republican,3468,5159
iowa,calhoun,Other,NA,293,5159
iowa,carroll,Hillary Clinton,democrat,3309,10544
iowa,carroll,Donald Trump,republican,6638,10544
iowa,carroll,Other,NA,597,10544
iowa,cass,Hillary Clinton,democrat,1951,7125
iowa,cass,Donald Trump,republican,4761,7125
iowa,cass,Other,NA,413,7125
iowa,cedar,Hillary Clinton,democrat,3599,9541
iowa,cedar,Donald Trump,republican,5295,9541
iowa,cedar,Other,NA,647,9541
iowa,cerro gordo,Hillary Clinton,democrat,9862,22965
iowa,cerro gordo,Donald Trump,republican,11621,22965
iowa,cerro gordo,Other,NA,1482,22965
iowa,cherokee,Hillary Clinton,democrat,1679,6258
iowa,cherokee,Donald Trump,republican,4192,6258
iowa,cherokee,Other,NA,387,6258
iowa,chickasaw,Hillary Clinton,democrat,2266,6435
iowa,chickasaw,Donald Trump,republican,3742,6435
iowa,chickasaw,Other,NA,427,6435
iowa,clarke,Hillary Clinton,democrat,1465,4454
iowa,clarke,Donald Trump,republican,2713,4454
iowa,clarke,Other,NA,276,4454
