state,county,candidate,candidate votes,total votes
arkansas,pike,Hillary Clinton,685,3981
arkansas,poinsett,Hillary Clinton,1880,7722
arkansas,polk,Hillary Clinton,1212,8231
arkansas,pope,Hillary Clinton,5000,22569
arkansas,prairie,Hillary Clinton,814,3444
arkansas,pulaski,Hillary Clinton,89574,159776
arkansas,randolph,Hillary Clinton,1425,6379
arkansas,st. francis,Hillary Clinton,4031,7430
arkansas,saline,Hillary Clinton,13256,52100
arkansas,scott,Hillary Clinton,602,3510
arkansas,searcy,Hillary Clinton,601,3728
arkansas,sebastian,Hillary Clinton,12300,44637
arkansas,sevier,Hillary Clinton,1075,4562
arkansas,sharp,Hillary Clinton,1472,7249
arkansas,stone,Hillary Clinton,1203,5618
arkansas,union,Hillary Clinton,5855,16894
arkansas,van buren,Hillary Clinton,1549,7339
arkansas,washington,Hillary Clinton,33366,81861
arkansas,white,Hillary Clinton,5170,27219
arkansas,woodruff,Hillary Clinton,1118,2571
arkansas,yell,Hillary Clinton,1480,6439
california,alameda,Hillary Clinton,514842,654266
california,alpine,Hillary Clinton,334,602
california,amador,Hillary Clinton,6004,17734
california,butte,Hillary Clinton,41567,95564
california,calaveras,Hillary Clinton,7944,23136
california,colusa,Hillary Clinton,2661,6632
california,contra costa,Hillary Clinton,319287,466175
california,del norte,Hillary Clinton,3485,9558
california,el dorado,Hillary Clinton,36404,93591
california,fresno,Hillary Clinton,141341,282319
california,glenn,Hillary Clinton,3065,9470
california,humboldt,Hillary Clinton,33200,59246
california,imperial,Hillary Clinton,32667,48091
california,inyo,Hillary Clinton,3155,8086
california,kern,Hillary Clinton,98689,244163
california,kings,Hillary Clinton,13617,33915
california,lake,Hillary Clinton,11496,24496
california,lassen,Hillary Clinton,2224,10524
california,los angeles,Hillary Clinton,2464364,3434308
california,madera,Hillary Clinton,17029,43112
california,marin,Hillary Clinton,108707,139273
california,mariposa,Hillary Clinton,3122,8877
california,mendocino,Hillary Clinton,22079,37477
california,merced,Hillary Clinton,37317,70789
california,modoc,Hillary Clinton,877,3788
california,mono,Hillary Clinton,2773,5276
california,monterey,Hillary Clinton,89088,133408
california,napa,Hillary Clinton,39199,61372
california,nevada,Hillary Clinton,26053,54935
california,orange,Hillary Clinton,609961,1197521
california,placer,Hillary Clinton,73509,182839
california,plumas,Hillary Clinton,3459,9676
california,riverside,Hillary Clinton,373695,751391
california,sacramento,Hillary Clinton,326023,559330
california,san benito,Hillary Clinton,12521,21924
california,san bernardino,Hillary Clinton,340833,653983
california,san diego,Hillary Clinton,735476,1306400
california,san francisco,Hillary Clinton,345084,405792
california,san joaquin,Hillary Clinton,121124,224166
california,san luis obispo,Hillary Clinton,67107,135009
california,san mateo,Hillary Clinton,237882,314384
california,santa barbara,Hillary Clinton,107142,176786
california,santa clara,Hillary Clinton,511684,703709
california,santa cruz,Hillary Clinton,95249,128821
california,shasta,Hillary Clinton,22301,80053
california,sierra,Hillary Clinton,601,1830
california,siskiyou,Hillary Clinton,7234,20492
california,solano,Hillary Clinton,102360,166113
california,sonoma,Hillary Clinton,160435,231253
california,stanislaus,Hillary Clinton,81647,172146
california,sutter,Hillary Clinton,13076,33523
california,tehama,Hillary Clinton,6809,23908
california,trinity,Hillary Clinton,2214,5686
california,tulare,Hillary Clinton,47585,112334
california,tuolumne,Hillary Clinton,9123,25529
california,ventura,Hillary Clinton,194402,351726
california,yolo,Hillary Clinton,54752,82090
california,yuba,Hillary Clinton,7910,22998
colorado,adams,Hillary Clinton,96558,193665
colorado,alamosa,Hillary Clinton,3189,6939
colorado,arapahoe,Hillary Clinton,159885,303046
colorado,archuleta,Hillary Clinton,2500,7339
