County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Howard,Trump +58,R+55.8,100%,"10,240","8,305"
La Vaca,Trump +73,R+71.3,100%,"10,197","7,340"
Shelby,Trump +59,R+59.7,100%,"10,084","6,974"
Colorado,Trump +51,R+51,100%,"9,975","8,059"
Montague,Trump +77,R+77.2,100%,"9,814","8,042"
Tyler,Trump +70,R+67.1,100%,"9,660","6,706"
Hale,Trump +51,R+48.1,100%,"9,584","7,496"
Houston,Trump +50,R+50.6,100%,"9,437","7,088"
Bee,Trump +29,R+15.3,100%,"9,420","7,547"
Bosque,Trump +65,R+64.3,100%,"9,126","6,539"
Limestone,Trump +50,R+51.9,100%,"9,095","6,885"
Hutchinson,Trump +77,R+75.9,100%,"8,771","7,004"
Freestone,Trump +61,R+59.3,100%,"8,711","6,531"
Leon,Trump +74,R+73.7,100%,"8,674","5,710"
Burleson,Trump +58,R+55,100%,"8,609","6,681"
Eastland,Trump +75,R+75.2,100%,"8,292","6,520"
Young,Trump +74,R+74.3,100%,"8,239","7,090"
De Witt,Trump +62,R+63.6,100%,"8,118","6,229"
Robertson,Trump +40,R+35,100%,"8,099","6,528"
Hockley,Trump +62,R+62.2,100%,"8,095","6,315"
Lee,Trump +56,R+55.3,100%,"8,086","6,547"
Calhoun,Trump +44,R+36.1,100%,"7,856","5,698"
Gray,Trump +77,R+78.3,100%,"7,782","5,742"
Gonzales,Trump +48,R+47.5,100%,"7,647","6,009"
Blanco,Trump +47,R+52.2,100%,"7,441","6,450"
Trinity,Trump +61,R+59.9,100%,"6,938","5,334"
Callahan,Trump +77,R+77,100%,"6,832","5,498"
Jones,Trump +69,R+65.2,100%,"6,741","4,384"
Jackson,Trump +66,R+63.4,100%,"6,340","5,096"
Falls,Trump +37,R+33.5,100%,"6,133","3,683"
Newton,Trump +61,R+56.6,100%,"6,094","4,079"
Comanche,Trump +71,R+67.7,100%,"6,086","4,681"
Rains,Trump +71,R+71,100%,"6,053","5,032"
Gaines,Trump +80,R+71.6,100%,"5,995","5,216"
Scurry,Trump +71,R+69.2,100%,"5,869","4,639"
Andrews,Trump +70,R+62.5,100%,"5,863","4,780"
Red River,Trump +56,R+53.8,100%,"5,806","4,263"
Clay,Trump +78,R+76.5,100%,"5,741","4,166"
Morris,Trump +39,R+40.6,100%,"5,587","4,130"
Willacy,Biden +12,D+36.8,100%,"5,549","3,547"
Moore,Trump +60,R+54.5,100%,"5,508","3,753"
Sabine,Trump +75,R+72.8,100%,"5,487","4,301"
Nolan,Trump +55,R+51.9,100%,"5,356","3,564"
Madison,Trump +58,R+57.6,100%,"5,297","4,377"
