Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
You Know You From South Dallas If.....,,113523748745557,47629,2020-09-27 22:12:06 EDT,Link,12,10,2,1,0,7,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3189411764490058,,https://www.politicususa.com/2020/09/27/ivanka-trump-tax-fraud.html,,,Ivanka Trump Could Be Going Down Thanks To Her Dad's Tax Fraud,"Trump's tax returns show that he paid his daughter Ivanka Trump as a consultant, even though she is a member of the company.",,,32,1.1
You Know You From South Dallas If.....,,113523748745557,47660,2020-10-16 08:23:39 EDT,Link,5,28,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3244651688966065,,https://www.complex.com/life/2020/10/ice-cube-helped-develop-new-black-trump-platform-says-senior-adviser,,,Ice Cube Helped Develop a New ‘Black Trump Platform’ and Fans Are Calling Him Out Over It,"Trump 2020 senior adviser Katrina Pierson shared a tweet saying Ice Cube worked with the campaign to develop the ""Platinum Plan"" for Black Americans.",,,34,1.1
East Boston Open Discussion,,408282242636625,16999,2020-11-24 13:18:48 EST,Status,6,41,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2118078968323602,A question for fun only. PLEASE: just yes or no. Will Trump attend President Bidens swearing in ceremony. No hate or conspiracy stuff.Please.,,,,,,,,47,1.09
You Know You From South Dallas If.....,,113523748745557,47814,2020-11-20 10:13:37 EST,Native Video,1,32,4,0,4,0,3,4,0,share,0,2002869,0,00:00:10,https://www.facebook.com/groups/113523748745557/permalink/3336162549814978,Comments,https://www.facebook.com/kennyonline/videos/10154773488067612/,,,Kenny,Want Another Reason Why Trump Is President?  MENTALITY!  Do you see this Bullsh+t???  Hello:. Family Services???,,,48,1.09
Original Chicago,,951998221479788,120434,2020-11-05 15:53:34 EST,Link,49,28,48,3,2,0,8,2,1,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3790425424303706,"City of Chicago wants to receive $1 instead of $300,000 for the old Firehouse in Jefferson Park. The property will not be Tax Exempt. Please Join our Cause! Dear Friend of Copernicus, As you might know, the Copernicus Foundation is trying to buy the abandoned firehouse at 4841 N. Lipps from the City of Chicago in a negotiated sale. The Foundation would renovate the property keeping its historic façade and having it be part of our campus. The Copernicus Foundation is willing to pay $300,000 for the property which the city appraised at $208,000. Sadly, the city appears to be accepting an offer from an outside developer, Ambrosia Homes, who will only be paying $1 for the property. There are a number of steps that have to be taken before that sale is final, so we are asking for your support in trying to stop the sale. Please visit our website at www.FightForTheFirehouse.com to express your support of the Copernicus Foundation by signing our petition. The site will also allow you to send an e-mail directly to your Alderman asking him not to vote for the negotiated sale of the firehouse to Ambrosia Homes. Please pass this information along to any of your friends and colleagues and also SHARE IT ON YOUR SOCIAL MEDIA so we will be able to show Mayor Lightfoot and the Aldermen that the community supports the Copernicus Foundation in its endeavor to develop this property in the best interests of our community.",https://www.fightforthefirehouse.com/,,,Copernicus Foundation's Fight For The Firehouse,"You can support us by signing our petition and asking your colleagues, friends and neighbors to sign the petition also.",,,141,1.09
Columbus Black Owned Businesses,,281688762959032,74932,2020-10-03 11:50:33 EDT,Status,6,37,0,3,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/376189836842257,Who has the Joe Biden masks ￼,,,,,,,,46,1.07
You Know You From South Dallas If.....,,113523748745557,47632,2020-10-03 13:41:15 EDT,Link,7,22,2,0,0,1,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3207228576041710,,https://abcnews.go.com/Politics/live-updates/trumpcoronavirus/?id=73402267,,,"Trump COVID-19 live updates: President was on oxygen on Friday, sources say","President Donald Trump was hospitalized after experiencing a low-grade fever, chills, nasal congestion and cough.",,,32,1.07
Original Chicago,,951998221479788,113585,2020-09-07 13:28:36 EDT,Link,83,23,12,19,3,0,24,0,3,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3604105129602404,"Remembering this man born in Chicago and died on this day in 2003,",https://en.m.wikipedia.org/wiki/Warren_Zevon,,,Warren Zevon - Wikipedia,"Warren William Zevon (/ˈziːvɒn/; January 24, 1947 – September 7, 2003)[1] was an American rock singer-songwriter and musician.",,,167,1.06
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,115514,2020-09-24 19:49:10 EDT,Photo,9,7,0,4,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/2474397959518091,"Two rooms are available in this awesome Adams Morgan House. Affordable, awesome people, lgbt friendly, fantastic location, you can't beat it. Room 1: - $1,060 - mid-sized - Views of Walter Pierce Park - Newly painted walls, AC unit, closet Room 2: -$1,103 - Large - Private Patio, comes with an armoire, closet, Newly painted walls, a non-working fire place, and AC Unit This 7 bedroom, 2.5 bathroom house is 3 floors with a large living room, open foyer, dining room area, and kitchen. There's a great back deck with grill which is perfect for summer BBQing, evening drinks, and general hangouts with friends and roomies. We're great friends with our next-door neighbors too and host potlucks and have even planned various vacations and trips together. We've also got the works in terms of TV/internet - HBO, Netflix, Hulu, Amazon, etc. The house is a short walk from the Adams Morgan strip of bars, 30 seconds from a bus stop (circulator to Columbia Heights and 14th & U, and the 42, 43, L2 to downtown). 5 minutes walk to Woodley park/Adams Morgan metro stop. Bars, restaurants, Coffeeshops shops of 18th street, Safeway & Harris Teeter, CVS, Wawa, Jumbo Slice, Washington Sports Club, other fitness studios - all very close. This neighborhood the best. craigslist ad - https://washingtondc.craigslist.org/.../7202419295.html Please DM if you're interested!",https://www.facebook.com/photo.php?fbid=10216455755777568&set=gm.2474397959518091&type=3,,,Photos from Hope Allen's post,,,,20,1.05
San Jose Current Events,,1680158918899563,13622,2020-10-14 12:20:23 EDT,Link,6,32,6,1,8,6,0,2,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/2701399406775504,Violate campaign laws... Switch parties... Anything to win.,http://dlvr.it/RjbHq0,,,Lan Diep a Democrat? San Jose party officials say not so fast - San José Spotlight,"A recent campaign mailer from San Jose Councilmember Lan Diep urges voters to support Joe Biden and himself — a “fellow Democrat” — but records show Diep joined the party just seven months ago. Before that, he had no party preference and was a registered Republican for seven years. Diep, who...",,,61,1.05
You Know You From South Dallas If.....,,113523748745557,47445,2020-09-05 06:22:25 EDT,Link,1,30,8,0,6,1,3,13,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3118151921616043,,https://www.commondreams.org/news/2020/09/03/barr-repeatedly-claims-he-doesnt-know-whether-its-illegal-vote-twice-following-trump?utm_campaign=shareaholic&utm_medium=referral&utm_source=facebook&fbclid=IwAR39ATeiYN6lKc5UpYO15OWaH7t9crjsOXFX2owcdUF3audeuWmuIVb9aHA,,,Barr Repeatedly Claims He Doesn't Know Whether It's Illegal to Vote Twice Following Trump Comments,"""As the attorney general, you are expected not to be an idiot when it comes to basic legal principles,"" said Rep. Ted Lieu.",,,62,1.05
New To Austin 20-30’s (NTA),,233293443506311,10719,2020-10-26 10:13:27 EDT,Status,7,39,0,0,0,1,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/233293443506311/permalink/1816770948491878,Where are the least crowded polling places? Can any of you recommend the least busy polling places? I wanna vote early but looking to do it safely and I'm not as out and about as others right now,,,,,,,,47,1.04
Original Chicago,,951998221479788,120434,2020-11-05 19:33:51 EST,Photo,109,5,28,0,22,5,57,4,0,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3790830590929856,Target on State Street was not taking any chances during the election.,https://www.facebook.com/photo.php?fbid=10105378213519119&set=gm.3790830590929856&type=3,,,,,,,230,1.04
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,116822,2020-10-23 15:39:18 EDT,Photo,12,13,1,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/2499230077034879,"Hello Potential Roommates! Reposting as I am still in need of roommates and one of the availability dates has changed from the original post. I am looking to fill the upstairs bedroom and the basement bedroom in a 3 level condo. The basement bedroom will be available November 1st and the upstairs bedroom by November 15th. The lease will last until December 31st with option to renew for next year. Rent is $975 a month plus utilities (we will occasionally have a house cleaner come clean the place, also separate fee). About the place: It is a Capitol Hill area townhouse with a short 10 minute walk to the Hill. The place is a 15min walk to the Wharf, 20 min walk to Nats Stadium, and 5-7min walk from both Waterfront and Federal Center SW metro stations. There is a Safeway, CVS, a farmer’s market, and a few dining places about a 7 min walk away as well. W/D in unit, Free Air conditioning during the summer, LOTS of Natural light. There is also access to the community pool and park. Street parking is available with permit, and there will be 1 parking spot available in the parking lot once my roommate leaves. Guest Parking is also available on the street (with guestpass). The townhouse complex has a security guard. There is beautiful landscaping around the townhouses. About the upstairs room: (see photos). The room will come unfurnished. You will be on the top floor, where there is also a second bedroom currently occupied by me. The bathroom is shared. The room is pretty spacious, you can fit a queen sized bed, a desk, dresser etc. About the basement bedroom: (see photos). The room will also come unfurnished. You will be on the first level of the condo, and will have your own separate bathroom on the same floor. This is the largest bedroom, so it is very spacious and fits a queen sized bed, a desk, a dresser etc. About me: Female, late twenties, just recently relocated to DC for grad school. Guests are fine as long as you give me a heads up in advance. I would like someone who is friendly & keeps the common areas clean. For the upstairs room, I’d prefer another female roommate. Feel free to message me some information about you, and any additional questions you have. Additional photos can be provided upon request. Due to Covid, I can only do virtual showings but we can work something out if you’d like to see it in person.",https://www.facebook.com/photo.php?fbid=10223787928915433&set=gm.2499230077034879&type=3,,,Photos from Courtney Sanders's post,,,,27,1.04
You Know You From South Dallas If.....,,113523748745557,47629,2020-09-30 13:31:22 EDT,Link,6,11,6,0,1,3,0,4,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3197926546971913,This Succa...,https://www.cnbc.com/2020/09/30/robert-johnson-i-will-take-the-devil-i-know-dont-know-what-biden-will-do.html,,,"BET founder Robert Johnson says 'I will take the devil I know,' adding he doesn't know what Biden will do","""Where I come out as a businessman, I will take the devil I know over the devil I don't know anytime of the week,"" BET founder Robert Johnson told CNBC.",,,31,1.03
Original Chicago,,951998221479788,115640,2020-09-27 23:21:30 EDT,Photo,181,26,25,25,22,1,1,0,0,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3671673879512195,"At the turn of the last century, women still did not have the vote... but in Chicago they did have what was called the Women's Temple Building on LaSalle Street ...no, it's no longer there, but the women still are!",https://www.facebook.com/photo.php?fbid=10218193341568497&set=gm.3671673879512195&type=3,,,,,,,281,1.03
San Francisco Bay Area Street Photography,,52850385745,51746,2020-10-31 11:05:46 EDT,Photo,76,9,9,34,2,0,0,0,2,,0,0,0,N/A,https://www.facebook.com/groups/52850385745/permalink/10159034733755746,"Moon setting behind the Golden Gate Bridge, San Francisco, 10-31-2020. Happy Halloween everyone! I hope you're all staying safe and healthy. #VOTE",https://www.facebook.com/photo.php?fbid=10157312720186174&set=gm.10159034733755746&type=3,,,,,,,132,1
You Know You From South Dallas If.....,,113523748745557,47423,2020-09-13 18:07:11 EDT,Link,11,12,14,1,11,3,3,4,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3145056195592282,You do know Trump has a history as a pedophile. I guess it's China's fault or it's fake News.,https://www.yahoo.com/entertainment/michael-cohens-daughter-reveals-she-232420061.html,,,Michael Cohen's Daughter Reveals How She Was Sexualized by Donald Trump as a Teen,"Donald Trump's former attorney Michael Cohen isn't the only one revealing tales of him time with the president — Cohen's daughter Samantha has also opened up about a rather disturbing encounter with President Trump. In a revealing new interview Friday with Vanity Fair, the now 24-year-old",,,59,1
