Features,IDs
"[1, 0, 0, 1, 1, 1, 1, 0, 7.4985, 0, 1.9331, 0, 0, 2.9196999999999997, 3.6731000000000003, 0, 0, 0.9993, 3.9579999999999997, 0, 0, 0, 0.9658, 0, 0, 0, 0, 0.3626, 4.9417, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",281688762959032
"[1, 0, 0, 1, 1, 1, 1, 1, 8.9784, 4.8931000000000004, 3.7864, 0, 0, 7.8078, 0.6926, 0, 0, 4.8, 5.901, 0, 0, 0, 0, 0, 0, 0, 0, 0.9938, 5.9309, 0, 0, 0, 0, 1, 3, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 16.7402, 6.753699999999999, 14.2273, 0, 0, 13.638300000000003, 2.8612, 0.7148, 0, 12.5642, 13.9258, 2.9961, 0, 0, 0, 0, 0, 0, 0.5985, 2.7173, 10.8113, 0, 0.9854, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",281688762959032
"[1, 0, 0, 1, 1, 1, 1, 1, 13.685699999999999, 2.9732000000000003, 8.8178, 0, 0, 7.465100000000001, 0.9725, 0, 0, 2.9722, 3.469, 2.9937, 0, 0, 0, 0, 0, 0, 0, 0, 5.484600000000001, 0.3893, 0, 0, 0, 2, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",281688762959032
"[1, 1, 0, 1, 1, 1, 1, 1, 4.8878, 0, 15.798000000000002, 0, 0.488, 5.9575000000000005, 1.3893, 0, 0, 1.9487, 1.998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7323, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 1, 1, 1, 1, 0, 0, 1, 1.7969, 0, 1.6298, 0, 0, 1.8931, 0, 0, 0, 0.9559, 2.8789000000000002, 0, 0, 0, 0, 0, 0, 0, 0, 1.9803, 0.9983, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",2448884692101913
"[1, 0, 0, 1, 1, 1, 1, 1, 2.8495, 1.9815999999999998, 2.6765, 0, 0, 4.4353, 1.9531999999999998, 0.9868, 0, 1.9959, 1.9903, 0.9901, 0, 0, 0, 0, 0, 0, 0, 0, 0.9586, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 0, 0, 1, 2.6217, 0, 1.9154, 0, 0.978, 0.9788, 0, 0, 0, 0.999, 0.9993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9943, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",2448884692101913
"[1, 1, 1, 1, 1, 1, 1, 1, 8.491999999999999, 9.522799999999998, 7.5042, 0, 0, 18.1478, 5.5768, 2.5651, 0, 3.9882, 7.9662, 2.9924999999999997, 0.9709, 0, 0, 0, 0, 0, 0, 0.9824, 7.9726, 1.4382, 1.7280000000000002, 0, 0, 0, 4, 0, 2, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 18.240300000000005, 10.364400000000002, 0.9307, 0, 0, 22.3933, 4.1648, 3.3651, 0.9522, 7.855700000000001, 12.0767, 5.9686, 0.576, 0, 0, 0, 0, 0, 0, 0.9501, 9.9732, 0, 0.9834, 0, 0, 2, 1, 1, 3, 0, 3, 0, 0, 1, 1, 0, 1, 0, 0, 1]",281688762959032
"[1, 1, 1, 1, 1, 0, 0, 1, 0.5359, 0, 1.8087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2448884692101913
"[1, 1, 1, 1, 1, 1, 1, 1, 21.389499999999998, 19.786699999999996, 1.5955, 0, 0, 32.3699, 5.0822, 8.736699999999999, 0, 12.619100000000001, 11.6629, 2.9937, 0, 0, 0, 0, 0, 0, 0, 0, 12.931600000000001, 0, 2.9745999999999997, 0, 0, 2, 1, 2, 1, 3, 1, 5, 2, 1, 1, 0, 1, 0, 0, 0]",697689596979025
"[1, 1, 0, 1, 1, 1, 1, 1, 26.0529, 3.9891, 4.8792, 0, 0.8162, 20.944699999999997, 10.4023, 4.1318, 0.9948, 10.848300000000002, 18.7448, 7.683000000000001, 0.954, 0, 0, 0, 0, 0, 0, 2.9244000000000003, 19.918499999999998, 0, 5.962899999999999, 0, 0, 2, 4, 0, 0, 0, 3, 1, 0, 1, 1, 0, 1, 0, 0, 1]",1468086266815937
"[1, 1, 1, 1, 1, 1, 1, 1, 24.3625, 2.5084999999999997, 6.9326, 0, 0, 23.630899999999997, 10.1211, 4.5198, 0, 16.536, 16.2434, 0.9979, 0, 0.6655, 0.9808, 0, 0, 0, 0, 1.9161000000000001, 8.9557, 0, 0, 0, 0, 7, 5, 0, 2, 1, 6, 1, 0, 1, 1, 1, 1, 0, 1, 1]",1894066747532679
"[1, 0, 0, 1, 1, 1, 1, 1, 6.5952, 2.5785, 5.8862, 0, 0, 6.7467999999999995, 1.7427000000000001, 0.994, 0.8812, 1.9743, 3.9729, 0.9977, 0, 0, 0, 0, 0, 0, 0, 0, 1.9755, 0, 0.8335, 0, 0, 0, 1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 0, 1.8582999999999998, 0, 2.9903, 0, 0, 0, 0, 0, 0, 0, 0.998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7688, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",52850385745
"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0.9875, 1.9853999999999998, 0, 0, 2.8693999999999997, 0.985, 0.8583, 0, 0, 0.9993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8367, 0, 0.9931, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 0, 2.0593000000000004, 0, 0, 0, 0, 0, 0.3412, 0, 0, 0, 0, 0, 0, 0, 0.8642, 0, 0, 0, 0, 0, 0.363, 0.259, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1523494334543575
"[1, 0, 0, 1, 1, 1, 1, 0, 4.883, 0, 7.357, 0, 0, 4.8948, 0.772, 0, 0, 2.9728, 4.9765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.996, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 15.517600000000003, 19.518299999999993, 1.9699, 0, 0, 29.3329, 11.9992, 3.3453, 0, 4.8454, 18.4482, 1.9912, 0, 0.5792, 10.765, 0.9954, 0, 0, 0, 2.9464, 11.9743, 0, 1.4443000000000001, 0, 0, 6, 5, 0, 2, 2, 3, 1, 0, 1, 1, 1, 1, 0, 1, 1]",281688762959032
"[1, 0, 0, 1, 1, 1, 1, 1, 25.517799999999998, 0, 13.5853, 0, 0.7643, 4.6157, 6.337599999999999, 0.9044, 0, 3.9877000000000002, 8.9686, 6.976099999999999, 0, 0, 0, 0, 0, 0, 0, 2.927, 11.948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",1468086266815937
"[1, 1, 1, 1, 1, 1, 1, 0, 4.9191, 2.9912, 2.7805, 0, 0, 4.9863, 1.7147000000000001, 0, 0, 3.9299, 2.9945, 1.9719, 0.7256, 0, 0, 0, 0, 0, 0, 0, 2.9917000000000002, 0, 0.9962, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",281688762959032
"[1, 0, 0, 1, 1, 1, 1, 1, 1.9944, 3.8263, 4.461399999999999, 0, 0, 4.994000000000001, 0.9723, 1.9954, 0, 1.9809, 0.9989, 0.9968, 0, 0, 0, 0, 0, 0, 0, 0, 3.9813, 0, 0.9871, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",281688762959032
"[1, 1, 1, 1, 1, 1, 0, 1, 2.884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",951998221479788
"[1, 1, 1, 1, 1, 1, 1, 1, 12.883300000000002, 1.6557, 2.3933999999999997, 0, 0, 13.6234, 3.4934, 3.5969, 0, 5.8187, 13.577, 2.9930000000000003, 0, 0.5403, 0, 0, 0, 0, 0, 0.9426, 4.985200000000001, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 0, 1]",281688762959032
"[1, 1, 0, 1, 1, 1, 1, 0, 23.948400000000003, 0, 18.8837, 0, 0, 12.6423, 6.944100000000001, 1.3586, 0, 11.8194, 16.808799999999998, 4.9903, 0, 0, 0, 0, 0, 0, 0, 1.5773, 11.964500000000001, 0, 1.4562, 0, 0, 3, 4, 1, 2, 0, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0]",951998221479788
"[1, 1, 0, 1, 1, 1, 1, 1, 20.9338, 2.7945, 7.071, 0, 1.1843, 16.3463, 5.7648, 0.4997, 0, 6.6075, 15.9345, 4.9582, 0, 0.5394, 0, 0, 0, 0, 0.3952, 11.725100000000001, 15.671500000000002, 0.8656, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1468086266815937
"[1, 1, 1, 1, 1, 1, 1, 0, 48.822499999999984, 40.9319, 12.6676, 0, 0.6925, 61.57829999999999, 19.012800000000002, 16.7334, 0, 35.355999999999995, 48.82979999999998, 10.9406, 1.9066, 0.4495, 0, 0, 0, 0, 0.9192, 0.9763, 29.79489999999999, 0, 1.895, 0, 0, 4, 6, 2, 1, 4, 4, 3, 0, 1, 1, 0, 1, 0, 0, 0]",281688762959032
