Features,IDs
"[1, 1, 1, 1, 1, 1, 1, 0, 11.1988, 0, 3.3369, 0, 0.6821, 4.9595, 1.6871, 2.2921, 0, 2.9844, 5.5769, 0, 0.4878, 0, 0, 0, 0, 0, 0, 6.4838, 4.9780999999999995, 0, 0, 0, 0, 4, 8, 1, 2, 1, 5, 0, 1, 1, 1, 1, 1, 0, 0, 0]",697689596979025
"[1, 0, 0, 1, 1, 0, 0, 1, 1.7793, 0, 0.7858, 0, 0, 3.8485, 0, 0.9986, 0, 0.9968, 0, 0.994, 0, 0, 0, 0, 0, 0, 0, 0, 1.9959, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 14.011899999999999, 4.962, 4.5147, 0, 0, 11.874699999999999, 2.0759, 0.9762, 0, 11.7515, 7.9727000000000015, 0.9985, 0.574, 0, 9.3824, 0, 0, 0, 0, 0.6668, 8.9718, 0, 0.9957, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 1, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 1, 0, 4.8412, 0, 0, 0, 5.740399999999999, 0, 0.9942, 0, 0, 0.9766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 0, 0, 0, 1, 1.8053, 0, 0.9988, 0, 0.7085, 1.8814, 0, 0, 0, 0, 0.9994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 24.714000000000002, 1.9882, 20.9897, 0, 0, 14.740600000000004, 8.127099999999999, 0.9683, 0.6498, 9.8671, 17.1541, 6.918399999999999, 0.8781, 0, 0, 0, 0, 0, 0, 16.608999999999998, 26.0533, 0, 0, 0, 0, 7, 6, 0, 4, 2, 9, 2, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 1, 1.8995, 0, 3.1147000000000005, 0, 0.4058, 1.4022, 0, 0.4907, 0, 0, 0.9964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9944, 0, 0, 0, 0, 2, 2, 0, 2, 2, 3, 2, 0, 0, 0, 0, 1, 0, 0, 1]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 1, 6.6290000000000004, 0.9881, 11.433, 0, 0, 5.078, 0, 0.7335, 0, 0.9996, 9.574, 0.9989, 0, 0, 0, 0, 0, 0, 0, 4.4033, 7.9581, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",951998221479788
"[1, 1, 1, 1, 1, 1, 0, 1, 3.9507, 0, 2.6764, 0, 0.916, 1.9951, 1.5647, 0, 0, 1.8979, 0.9642, 0.9989, 0, 0, 0, 0, 0, 0, 0, 0, 1.8866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 7.5322, 2.9513, 3.0975, 0, 0, 7.5296, 4.4096, 2.5191, 0, 7.5327, 6.9548000000000005, 0.9976, 0, 0, 0, 0, 0, 0, 0, 1.7873999999999999, 3.8893999999999997, 0, 0.998, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0.3107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5188, 0, 0, 0, 0, 0, 0, 0.4502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 0, 12.3761, 5.9203, 5.0703000000000005, 0, 0, 15.5834, 3.2392, 0.9913, 0, 9.8856, 11.818100000000001, 1.9924, 1.8331, 0, 0, 0, 0, 0, 0, 0.9923, 7.985900000000001, 0, 0.9851, 0, 0, 1, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 0, 4.9628, 2.992, 2.4497999999999998, 0.8185, 0, 11.2997, 2.8162000000000003, 0, 0, 1.9745, 4.5104, 0.9932, 0, 0, 0, 0, 0, 0, 0, 0.9719, 4.9876, 0, 0, 0, 0, 2, 1, 0, 3, 0, 4, 0, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 1, 1.9205, 0.9971, 7.509200000000001, 0, 0, 0.7379, 0, 0, 0, 0.9991, 2.9981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8491, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 0, 1, 1, 1, 1, 1, 4.8545, 3.9121, 9.500300000000001, 0, 0, 16.5252, 2.778, 1.9904, 0, 5.912100000000001, 7.3696, 1.9937, 0, 0, 0, 0, 0.9649, 0, 0, 0, 8.8546, 0.8791, 2.8842, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 13.381100000000002, 0.9982, 10.9511, 0, 0.957, 11.628400000000001, 7.4568, 6.2077, 0, 9.8537, 9.7835, 2.9663, 0, 0, 0, 0, 0, 0, 0, 0, 7.9801, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]",113523748745557
"[1, 1, 0, 1, 1, 1, 1, 1, 15.527700000000001, 5.975899999999999, 3.4929, 0, 0, 13.4197, 3.1497, 2.6074, 0, 6.9528, 8.4313, 4.9805, 0, 0, 0.8372, 0, 0, 0, 2.6219, 1.9458000000000002, 5.4733, 1.2459, 0.8587, 0, 0, 3, 3, 0, 2, 2, 4, 2, 0, 1, 1, 1, 1, 0, 0, 1]",1523494334543575
"[1, 1, 1, 1, 1, 1, 1, 1, 59.000000000000014, 0, 27.5912, 0, 0.4697, 20.0777, 13.198400000000001, 0, 0, 13.954499999999998, 23.856199999999998, 2.9952, 0, 0, 0, 0, 0, 0, 0, 16.0074, 46.13540000000001, 0, 0, 0, 0, 4, 11, 4, 4, 5, 6, 7, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
